,Рентабельность продаж,Рентабельность активов (ROA),Рентабельность капитала (ROE)
424,,,
425,0.0576,0.2493,1.2418
426,,,
427,,,
428,,,
429,,,
430,,,
431,0.0354,0.0275,-2.4342
432,,,
433,,,
434,,,
435,0.171,11.5323,143.0
436,,,
437,,,
438,,,
439,,,
440,,,
441,,,
442,,,
443,,,
444,,,
445,,,
446,,,
447,,,
448,,,
449,,,
450,,,
451,,,
452,,,
453,,,
454,,,
455,,,
456,,,
457,,,
458,,,
459,0.0272,0.0431,1.369
460,0.0032,0.0003,0.0118
461,0.0565,0.6471,1.6923
462,,,
463,,,
464,,,
465,0.1563,0.0533,0.3333
466,,,
467,,,
468,,,
469,0.059,0.1945,-1.5354
470,,,
471,,,
472,,,
473,,,
474,0.2272,0.2692,0.2958
475,,,
476,0.0334,0.0278,0.1361
477,,,
478,,,
479,-0.0482,0.049,0.4365
480,,,
481,,,
482,,,
483,,,
484,0.0896,0.081,0.2963
485,,,
486,,,
487,,,
488,-11.6316,-0.914,-1.0463
489,,,
490,,,
491,,,
492,,,
493,,,
494,,,
495,,,
496,0.0222,0.0563,1.4094
497,,,
498,0.036,0.5202,0.7598
499,,,
500,,,
501,,,
502,,,
503,,,
504,,,
505,,,
506,,,
507,,,
508,0.0205,-0.0835,-2.08
509,,,
510,,,
511,,,
512,,,0.0536
513,,,
514,,,
515,0.0023,0.0004,-0.0392
516,,,
517,,,
518,,,
519,,,
520,,,
521,,,
522,0.0206,0.0033,0.2648
523,,,
524,,,
525,,,
526,,,
527,,,
528,,,
529,0.1238,0.0869,1.0092
530,0.0091,-0.0031,0.0422
531,,,
532,,,
533,,,
534,,,
535,,,
536,0.0216,0.0169,0.2154
537,,,
538,,,
539,,,
540,,,
541,,-0.0004,-0.0004
542,,,
543,0.0081,-0.3239,0.678
544,0.0184,0.0057,1.0479
545,,,
546,,-0.0019,-0.0019
547,-0.3257,-2.3221,0.1425
548,,,
549,,,
550,,,
551,0.0091,0.0044,-0.0392
552,,,
553,,,
554,-0.3061,-0.0546,-0.7724
555,,,
556,-0.0178,0.0078,0.0103
557,,,
558,,,
559,,,
560,0.0297,0.0543,6.1379
561,,,
562,,,
563,,,
564,-0.2739,0.0169,0.3882
565,,,
566,,,
567,,,
568,,,
569,,,
570,,,
571,,,
572,0.02,0.0009,0.0046
573,0.0459,0.0481,1.1475
574,,,
575,,,
576,,,
577,,,
578,,,
579,-0.1071,-0.432,-1.0622
580,,,
581,,,
582,,,
583,,,
584,0.0217,0.0003,0.0361
585,,,
586,,,
587,,,
588,0.0052,0.0126,0.0479
589,,,
590,,,
591,,,
592,,,
593,,,
594,,-0.1695,-1.9875
595,-0.5556,-0.0234,-0.0854
596,0.0596,0.0258,0.5966
597,,,
598,,,
599,,,
600,,,
601,,,
602,,,
603,,,
604,,,
605,0.0407,0.0021,0.7068
606,,,
607,0.0206,0.1023,0.594
608,0.0487,0.0012,0.3333
609,,,
610,,,
611,,,
612,,,
613,,,
614,0.0074,0.0374,0.3929
615,,,
616,,,
617,,,
618,,,
619,,,
620,,,
621,0.2328,0.2989,4.2285
622,,,
623,,,
624,,,
625,,,
626,0.0251,0.0059,0.246
627,,,
628,,,
629,,,
630,-0.0079,0.0355,1.2152
631,,,
632,,,
633,0.3895,0.6353,1.391
634,,,
635,,,
636,0.0021,0.001,-0.0027
637,,,
638,,,
639,,,
640,0.0681,0.0713,0.0728
641,,,
642,0.0256,-0.1786,0.1753
643,,,
644,,,
645,,,
646,,,
647,,,
648,,,
649,,,
650,,,
651,0.0261,0.0178,0.9796
652,,,
653,,,
654,0.0524,-4.875,2.0
655,,,
656,,,
657,0.0748,0.0103,0.0202
658,,,
659,,,
660,,,
661,,,
662,,,
663,,,
664,,,
665,,-0.4126,-1.6727
666,,,
667,0.3635,0.5941,0.6922
668,,,
669,0.0939,0.0115,1.9308
670,,,
671,,,
672,,,
673,,,
674,,,
675,,,
676,,,
677,0.0094,0.0225,0.9788
678,,,
679,,,
680,,,
681,,,
682,,,
683,-0.9516,-0.0947,-0.3787
684,,,
685,,,
686,,,
687,,,
688,,,
689,0.138,0.5989,1.517
690,,,
691,,,
692,,,
693,,,
694,,,
695,,,
696,,-0.1051,-0.1145
697,,,
698,0.0083,-0.0044,2.0
699,,,
700,0.0566,0.0029,0.0606
701,,,
702,,,
703,,,
704,,,
705,,,
706,,,
707,,,
708,,,
709,,,
710,,,
711,,,
712,,,
713,,,
714,,,
715,,,
716,,,
717,,,
718,,,
719,,,
720,,,
721,,,
722,0.0349,0.4941,1.9865
723,,,
724,,,
725,0.0227,0.0551,0.982
726,0.0362,0.0052,0.1203
727,,,
728,,,
729,,,
730,,,
731,,,
732,,,
733,,,
734,-0.0582,0.0047,0.0607
735,,,
736,-0.1589,0.0323,0.587
737,,,
738,,,
739,,,
740,,,
741,,,
742,,,
743,,,
744,,,
745,,,
746,,,
747,,,
748,0.2443,0.0052,0.0971
749,,,
750,,,
751,,,
752,,,
753,,,
754,,,
755,,,
756,,,
757,-0.0005,-0.0389,0.5834
758,,,
759,,,
760,0.038,0.0031,0.0047
761,,,
762,,-0.0151,0.9828
763,,,
764,,,
765,,,
766,0.0113,,
767,,,
768,,,
769,,,
770,,,
771,,,
772,,,
773,,,
774,,,
775,,,
776,,,
777,,,
778,,,
779,,,
780,,,
781,,,
782,,,
783,,,
784,,,
785,,,
786,,,
787,,,
788,,,
789,,,
790,,,
791,,,
792,,,
793,,,
794,,,
795,0.1642,1.2643,1.9477
796,0.043,0.0737,0.1879
797,,,
798,,,
799,,,
800,,,
801,,,
802,0.0084,0.0006,0.3182
803,0.0853,0.3271,-0.6276
804,,,
805,,,
806,0.2376,0.3168,0.4695
807,,,
808,,,
809,,,
810,-0.0026,-0.0222,-0.2614
811,,,
812,,,
813,,,
814,0.1054,0.5128,0.5638
815,,,
816,,,
817,,,
818,0.0032,0.0164,2.0
819,,,
820,,,
821,,,
822,,,
823,,,
824,,,
825,0.1668,0.2976,0.298
826,,,
827,,,
828,,,
829,,,
830,,,
831,,,
832,,,
833,,-10.0,1.6667
834,,,
835,,,
836,,,
837,,,
838,,,
839,,,
840,,,
841,,,
842,,,
843,,,
844,,,
845,,,
846,,,
847,,,
848,,,
849,,,
850,,,
851,,,
852,,,
853,0.0285,0.004,0.007
854,,,
855,,,
856,,,
857,,,
858,,,
859,-5.8588,-0.6961,-0.8341
860,,,
861,,,
862,,,
863,-0.0248,0.0305,0.2906
864,0.2068,0.6039,0.7749
865,,,
866,,,
867,,,
868,,,
869,,,
870,0.0553,0.0834,0.1262
871,,,
872,,,
873,0.2749,0.8687,1.1268
874,,,
875,,,
876,,,
877,,,
878,,,
879,,,
880,0.0098,0.0055,-0.0658
881,0.0343,0.0268,6.1644
882,0.006,0.0029,0.9084
883,,,
884,,,
885,,,
886,-0.0187,-0.0387,0.2826
887,-0.0815,0.012,0.2764
888,,,
889,,,
890,0.0096,0.0195,1.8148
891,,,
892,,,
893,,,
894,-0.1206,0.0527,0.7591
895,,,
896,,,
897,,,
898,,,
899,,,
900,,,
901,,,
902,,,
903,0.0235,0.0977,0.3025
904,,,
905,,,
906,,,
907,,,
908,,-5.0769,2.8696
909,,,
910,,,
911,,,
912,,,
913,,,
914,,,
915,,,
916,,,
917,,,
918,,,
919,0.0351,0.0512,0.2816
920,,,
921,,,
922,,,
923,,,
924,,,
925,,,
926,,,
927,,,
928,,,
929,,,
930,,,
931,-3.7,-0.0056,0.0059
932,,,
933,,,
934,,0.0495,0.0496
935,0.0161,0.0236,0.2563
936,,,
937,,,
938,,,
939,,,
940,,,
941,,,
942,0.8438,8.8732,10.0188
943,,,
944,,,
945,,,
946,,,
947,,,
948,,,
949,,,
950,,,
951,,,
952,,,
953,,,
954,,,
955,,,
956,,,
957,,,
958,,,
959,,,
960,,,
961,,,
962,,,
963,,,
964,,,
965,,,
966,-0.0153,0.0193,0.6883
967,0.0677,0.0367,0.7119
968,,,
969,0.1094,0.349,0.6114
970,0.0385,0.0126,0.1231
971,,,
972,,,
973,,,
974,,,
975,,,
976,,,
977,,,
978,0.0176,0.7479,1.0687
979,-0.0949,-0.0738,1.1139
980,0.0406,0.0543,1.4
981,0.0899,0.0692,2.0
982,,,
983,,,
984,,-0.0022,-0.0024
985,,,
986,,,
987,,,
988,,,
989,,,
990,,,
991,,,
992,,,
993,,,
994,,,
995,,,
996,,,
997,,,
998,,,
999,,,
1000,,,
1001,,,
1002,,,
1003,-0.0074,-0.009,-0.0131
1004,0.0217,0.0368,0.8712
1005,,,
1006,,,
1007,-0.1587,-4.5659,0.2762
1008,,,
1009,,,
1010,,,
1011,,,
1012,,,
1013,,,
1014,,,
1015,,,
1016,,,
1017,0.0559,,
1018,,,
1019,,,
1020,,-0.0191,-0.0281
1021,,,
1022,,,
1023,,,
1024,0.0517,1.5019,1.9888
1025,,,
1026,,-0.1081,-0.25
1027,,,
1028,,,
1029,,,
1030,,,
1031,,,
1032,,,
1033,0.043,0.0034,0.0915
1034,,,
1035,,,
1036,,,
1037,0.0205,0.0139,0.3777
1038,,-0.7074,-1.5724
1039,0.1121,1.0054,2.615
1040,-0.3712,,
1041,,-0.2222,-0.5
1042,0.0371,0.0295,0.2476
1043,,,
1044,,,
1045,,,
1046,,,
1047,,,
1048,0.0158,0.0765,0.1412
1049,,,
1050,,,
1051,,,
1052,,,
1053,0.0825,0.3592,1.5962
1054,,,
1055,,,
1056,,,
1057,,,
1058,,,
1059,,,
1060,,,
1061,,,
1062,,,
1063,,,
1064,,,
1065,,,
1066,-0.3478,-3.817,1.9978
1067,,,
1068,,,
1069,,,
1070,,,
1071,,,
1072,,,
1073,0.0978,0.5863,1.7616
1074,,,
1075,,,
1076,,,
1077,,,
1078,,0.1136,0.229
1079,,,
1080,-0.0551,-3.6178,2.1434
1081,,,
1082,-0.572,-0.0725,-0.9801
1083,0.2533,0.1988,1.985
1084,,,
1085,,,
1086,,,
1087,,,
1088,-0.1423,0.0054,0.0104
1089,,,
1090,,,
1091,,0.0727,0.2355
1092,0.0132,0.0045,0.0106
1093,,,
1094,,,
1095,,,
1096,,,
1097,,,
1098,0.2939,1.9605,2.0
1099,,,
1100,,,
1101,,,
1102,,,
1103,,,
1104,,,
1105,,,
1106,,,
1107,-0.028,-0.434,-2.1702
1108,,,
1109,,-0.0451,-0.6413
1110,,,
1111,0.0072,0.0222,0.6266
1112,,,
1113,,,
1114,,,
1115,-2.0171,-0.4778,-0.5234
1116,-1.8979,-0.1059,-0.129
1117,0.0371,0.0555,0.6059
1118,,,
1119,,,
