,Рентабельность продаж,Рентабельность активов (ROA),Рентабельность капитала (ROE)
23946,,,
23947,,,
23948,,,
23949,,,
23950,,,
23951,,,
23952,,,
23953,,,
23954,,,
23955,,,
23956,,,
23957,,,
23958,,,
23959,,,
23960,,,
23961,,,
23962,,,
23963,,,
23964,,,
23965,,,
23966,,,
23967,,,
23968,,,
23969,,,
23970,,,
23971,,0.0462,0.0464
23972,,,
23973,,,
23974,,,
23975,,,
23976,,,
23977,,,
23978,,,
23979,,,
23980,,,
23981,,,
23982,0.0958,0.0554,0.1616
23983,,,
23984,,,
23985,,,
23986,,,
23987,,,
23988,,,
23989,,,
23990,,,
23991,,,
23992,,,
23993,,,
23994,,,
23995,,,
23996,,,
23997,,,
23998,,,
23999,,,
24000,,,
24001,,,
24002,,,
24003,,,
24004,,,
24005,,,
24006,,0.0133,0.0135
24007,,,
24008,,,
24009,,,
24010,,,
24011,,,
24012,,,
24013,,,
24014,,,
24015,,,
24016,,,
24017,,,
24018,,,
24019,,,
24020,,,
24021,,,
24022,,,
24023,0.13,,
24024,,,
24025,,,
24026,,,
24027,,,
24028,,,
24029,,,
24030,,,
24031,,,
24032,,,
24033,,,
24034,,,
24035,,,
24036,,,
24037,,,
24038,,,
24039,,,
24040,,,
24041,,,
24042,,,
24043,,,
24044,,,
24045,,,
24046,,,
24047,,,
24048,,,
24049,,,
24050,,,
24051,,,
24052,,,
24053,,,
24054,,,
24055,,,
24056,,,
24057,,,
24058,,,
24059,,,
24060,,,
24061,,,
24062,,-1146.0,2.4913
24063,,,
24064,,-0.0204,-0.0209
24065,,,
24066,,,
24067,,,
24068,,,
24069,,,
24070,,,
24071,,,
24072,,,
24073,,,
24074,,,
24075,,,
24076,,,
24077,0.4899,1.2737,1.7879
24078,,,
24079,,,
24080,,,
24081,,,
24082,,,
24083,,,
24084,,,
24085,,,
24086,,,
24087,,,
24088,,,
24089,,,
24090,,-0.0062,-0.0084
24091,,0.0024,0.0024
24092,,,
24093,,,
24094,,,
24095,,,
24096,0.85,0.7364,1.6561
24097,,,
24098,,,
24099,,,
24100,,,
24101,,,
24102,,,
24103,,,
24104,,,
24105,,,
24106,,,
24107,,,
24108,,,
24109,,,
24110,,,
24111,,,
24112,,,
24113,,,
24114,,,
24115,,,
24116,,,
24117,,,
24118,,,
24119,,,
24120,,,
24121,,,
24122,,,
24123,,,
24124,1.0,0.0369,
24125,,,
24126,,,
24127,,,
24128,,,
24129,,,
24130,,,
24131,,,
24132,,,
24133,,,
24134,,,
24135,-64.7736,-4.0861,
24136,,,
24137,,,
24138,,,
24139,,,
24140,,,
24141,,,
24142,,,
24143,,,
24144,,,
24145,,,
24146,,,
24147,,,
24148,,0.0184,
24149,,,
24150,,,
24151,,,
24152,,,
24153,,,
24154,,,
24155,,,
24156,,,
24157,,,
24158,,,
24159,,,
24160,,,
24161,,,
24162,,,
24163,,,
24164,,,
24165,,,
24166,,,
24167,,,
24168,,,
24169,,,
24170,,,
24171,,,
24172,,,
24173,,,
24174,,,
24175,,-0.1566,
24176,,,
24177,,,
24178,,,
24179,,,
24180,,,
24181,,0.0904,
24182,,,
24183,,,
24184,,,
24185,,-0.0955,-0.0962
24186,,,
24187,,,
24188,,,
24189,,,
24190,,0.0097,
24191,,,
24192,,,
24193,,,
24194,,,
24195,,,
24196,,,
24197,,,
24198,,,
24199,,,
24200,,,
24201,,,
24202,,,
24203,,,
24204,,,
24205,,,
24206,,,
24207,,,
24208,,,
24209,,,
24210,,,
24211,,,
24212,,,
24213,,,
24214,,,
24215,,,
24216,,,
24217,,,
24218,,,
24219,,,
24220,,,
24221,,,
24222,,,
24223,,,
24224,,,
24225,,,
24226,,,
24227,,,
24228,,,
24229,,,
24230,,,
24231,,,
24232,,,
24233,,,
24234,,,
24235,,-0.6377,
24236,,,
24237,,,
24238,,,
24239,,,
24240,,,
24241,,,
24242,,,
24243,,,
24244,,,
24245,,,
24246,,,
24247,,,
24248,,,
24249,,,
24250,,,
24251,,,
24252,,,
24253,,,
24254,,,
24255,,,
24256,,,
24257,,,
24258,,,
24259,,,
24260,,,
24261,,,
24262,,,
24263,0.0021,-0.1419,
24264,,,
24265,,,
24266,,,
24267,,,
24268,,,
24269,,,
24270,,,
24271,,,
24272,,,
24273,,,
24274,,,
24275,,,
24276,,,
24277,,,
24278,,,
24279,,,
24280,,,
24281,,,
24282,,,
24283,,,
24284,,,
24285,,,
24286,,,
24287,,,
24288,,,
24289,,,
24290,,,
24291,,,
24292,,,
24293,,,
24294,,,
24295,,,
24296,,,
24297,,,
24298,,,
24299,,,
24300,,,
24301,,,
24302,0.0074,0.0065,-0.9474
24303,,,
24304,,,
24305,,,
24306,,,
24307,,,
24308,,0.0031,0.0034
24309,,,
24310,,,
24311,,,
24312,,,
24313,,,
24314,,,
24315,,,
24316,,,
24317,,,
24318,,,
24319,,,
24320,,,
24321,-0.3807,-1.135,-1.2827
24322,,,
24323,,,
24324,-0.0206,-0.9698,-1.7663
24325,,,
24326,,,
24327,,,
24328,,,
24329,,,
24330,,,
24331,,,
24332,0.3273,-0.1236,0.3624
24333,0.0307,0.4086,1.4782
24334,,,
24335,,,
24336,,,
24337,,,
24338,,,
24339,,,
24340,0.0113,0.0504,0.4471
24341,,,
24342,,,
24343,,,
24344,,,
24345,,,
24346,,,
24347,,,
24348,,,
24349,,,
24350,,,
24351,,-0.975,0.0009
24352,,,
24353,,,
24354,,,
24355,,,
24356,,,
24357,,,
24358,,,
24359,-0.228,-0.6092,0.5599
24360,,,
24361,,,
24362,,,
24363,,,
24364,,,
24365,,,
24366,0.3688,0.0805,0.1228
24367,,,
24368,,,
24369,,,
24370,,,
24371,0.1794,0.3473,2.8522
24372,,,
24373,,,
24374,0.0116,-0.053,-0.0805
24375,,,
24376,0.012,,
24377,,,
24378,,,
24379,0.1018,0.8079,2.2255
24380,,,
24381,,,
24382,,,
24383,,,
24384,-1.5,-0.2896,-0.3564
24385,0.0358,0.0239,0.5385
24386,,,
24387,,,
24388,,,
24389,,,
24390,,,
24391,,,
24392,,,
24393,,,
24394,,,
24395,,,
24396,,,
24397,,,
24398,,,
24399,,,
24400,,,
24401,,,
24402,,0.0231,0.0464
24403,,,
24404,0.0653,0.0865,-0.0867
24405,,,
24406,,,
24407,,,
24408,,,
24409,,,
24410,,,
24411,0.2913,0.7053,1.5402
24412,,,
24413,,,
24414,,,
24415,,,
24416,,,
24417,,,
24418,,,
24419,,,
24420,,,
24421,,,
24422,,,
24423,,,
24424,,,
24425,,,
24426,-0.0417,-0.0566,-0.0599
24427,,,
24428,,,
24429,,,
24430,,,
24431,,,
24432,,,
24433,,,
24434,,,
24435,,,
24436,,,
24437,,,
24438,,,
24439,,,
24440,,,
24441,-1.6744,-0.1248,-0.813
24442,0.148,0.9239,0.9635
24443,,,
24444,,,
24445,,,
24446,,,
24447,,,
24448,,,
24449,,,
24450,,-0.0248,1.5556
24451,,,
24452,,,
24453,,,
24454,,,
24455,,,
24456,,,
24457,,,
24458,,,
24459,,,
24460,,,
24461,,,
24462,,,
24463,,,
24464,,,
24465,,,
24466,,,
24467,,,
24468,0.0182,0.0408,0.078
24469,,,
24470,0.0985,0.185,0.3351
24471,,,
24472,,,
24473,,,
24474,,,
24475,-0.0323,0.0517,-0.1298
24476,,,
24477,0.1021,0.0024,0.0025
24478,,,
24479,,0.0001,0.0001
24480,,,
24481,,,
24482,,,
24483,,,
24484,,,
24485,,,
24486,,,
24487,,,
24488,0.0026,-0.0687,0.3946
24489,,,
24490,,,
24491,-0.1203,0.383,-2.7
24492,,,
24493,,,
24494,,,
24495,,,
24496,,,
24497,,,
24498,,,
24499,,,
24500,,,
24501,,,
24502,,,
24503,,,
24504,,,
24505,0.1987,0.0955,0.1095
24506,,,
24507,,,
24508,,,
24509,,,
24510,,,
24511,,,
24512,,,
24513,,,
24514,,,
24515,,,
24516,,,
24517,,,
24518,,,
24519,,,
24520,0.0104,-0.0281,-0.0296
24521,,-1.0097,-2.1746
24522,,,
24523,0.3531,0.1911,0.2232
24524,,,
24525,,,
24526,,,
24527,,,
24528,,,
24529,,,
24530,0.0585,0.7174,0.7867
24531,,,
24532,,,
24533,0.0403,0.0186,0.5521
24534,,,
24535,,,
24536,,,
24537,0.1262,0.7937,0.9524
24538,,,
24539,,,
24540,,,
24541,,,
24542,,,
24543,,,
24544,,,
24545,,,
24546,,,
24547,,,
24548,0.0115,-0.1888,0.3198
24549,,,
24550,0.0679,0.4272,1.6634
24551,,,
24552,,,
24553,,,
24554,,0.0011,0.0127
24555,,,
24556,,,
24557,,,
24558,,,
24559,,,
24560,,,
24561,0.1891,0.3639,1.6288
24562,,,
24563,,,
24564,1.0,0.0386,0.0387
24565,,,
24566,,,
24567,,,
24568,,,
24569,,,
24570,,,
24571,,,
24572,,,
24573,,,
24574,0.2305,0.9102,1.0157
24575,0.1002,0.0198,0.1601
24576,,,
24577,,,
24578,,,
24579,,,
24580,,,
24581,,,
24582,,,
24583,,,
24584,0.0283,0.0086,0.0097
24585,,,
24586,,-0.0494,0.1195
24587,-0.0484,-0.1106,-0.1963
24588,,,
24589,,,
24590,,,
24591,,,
24592,,,
24593,,,
24594,,,
24595,,,
24596,,,
24597,,,
24598,,,
24599,,,
24600,0.0028,-0.0323,-0.0432
24601,,,
24602,0.0605,0.0559,0.0693
24603,,,
24604,,,
24605,0.0338,0.0188,0.1323
24606,,,
24607,,,
24608,,,
24609,,,
24610,,,
24611,,,
24612,,,
24613,,,
24614,,,
24615,,,
24616,,,
24617,,-0.0535,-0.1626
24618,,,
24619,,,
24620,,,
24621,,,
24622,,,
24623,,,
24624,,0.5455,0.5455
24625,,,
24626,,,
24627,,,
24628,,,
24629,,,
24630,,,
24631,,,
24632,,,
24633,0.1078,0.1683,1.657
24634,0.0111,-0.2558,-0.286
24635,0.7569,6.3253,7.6456
24636,0.6293,0.1539,0.3662
24637,1.0,0.0391,-0.0148
24638,,,
24639,,,
24640,,,
24641,,,
24642,,,
24643,0.2575,0.3094,0.35
24644,,,
24645,,,
24646,0.1637,0.3277,0.5834
24647,,,
24648,,,
24649,,,
24650,,,
24651,,,
24652,,,
24653,,,
24654,,,
24655,,-16.4615,2.2062
24656,,,
24657,,,
24658,,,
24659,,,
24660,,,
24661,,,
24662,,,
24663,,,
24664,,,
24665,,,
24666,,,
24667,,,
24668,,,
24669,,,
24670,,,
24671,,,
24672,,,
24673,,,
24674,0.1794,-0.0602,0.5748
24675,,,
24676,,,
24677,,,
24678,,,
24679,,,
24680,,-0.0149,0.0252
24681,,,
24682,,,
24683,,,
24684,,,
24685,0.073,0.3161,0.3416
24686,,,
24687,,,
24688,,,
24689,,0.7713,0.7748
24690,,-0.9665,0.1415
24691,,,
24692,,,
24693,,,
24694,,,
24695,,,
24696,0.0349,0.0758,0.0758
24697,,,
24698,,,
24699,,,
24700,,,
24701,,,
24702,,,
24703,,-0.0337,-0.0343
24704,,,
24705,0.4509,1.8109,2.1667
24706,,,
24707,,0.3333,-0.2667
24708,-0.0259,-0.172,-0.2649
24709,,,
24710,,,
24711,,,
24712,0.359,17.3695,45.7922
24713,,,
24714,,,
24715,,,
24716,,,
24717,,,
24718,,,
24719,,,
24720,,,
24721,,,
24722,,,
24723,,,
24724,,,
24725,,,
24726,,,
24727,,,
24728,-0.5854,-1.3139,1.421
24729,,,
24730,,,
24731,,,
24732,0.0433,0.2444,0.6866
24733,,,
24734,,,
24735,,,
24736,,,
24737,0.0303,-0.0307,-0.0309
24738,0.0652,0.1479,0.2053
24739,,,
24740,,,
24741,,,
24742,,,
24743,0.0768,0.4829,7.3721
24744,,,
24745,,,
24746,,,
24747,,,
24748,,-0.0343,-0.0343
24749,,,
24750,,,
24751,,,
24752,0.4337,3.744,-4.7924
24753,,,
24754,0.1884,0.3056,0.3361
24755,,,
24756,,,
24757,,,
24758,,,
24759,,,
24760,0.0688,0.1449,-0.5936
24761,1.0,,
24762,,,
24763,,,
24764,,,
24765,,,
24766,,,
24767,,,
24768,,,
24769,,,
24770,,,
24771,,,
24772,0.0128,0.0155,
24773,0.1445,0.2062,0.4547
24774,,,
24775,0.0286,0.5161,1.2
24776,,,
24777,,,
24778,,,
24779,-0.1796,-0.1821,-33.814
24780,,,
24781,,,
24782,,,
24783,0.1845,0.0832,0.0881
24784,0.085,2.7282,5.0631
24785,0.0128,0.0003,0.0027
24786,,,
24787,,,
24788,,,
24789,,,
24790,,,
24791,,,
24792,,-0.0291,-0.0296
24793,,,
24794,-0.3064,-0.2442,-0.388
24795,-2.8936,-0.0717,0.0456
24796,0.1517,0.0936,0.1037
24797,,,
24798,,,
24799,,,
24800,,,
24801,,,
24802,0.0819,0.6256,0.8128
24803,,,
24804,-0.3619,-0.6541,-2.5356
24805,,,
24806,,,
24807,,,
24808,,,
24809,,,
24810,-0.0659,-0.3594,-3.3238
24811,,,
24812,,-0.5238,-0.5238
24813,,,
24814,,,
24815,,,
24816,0.0289,0.1272,0.1476
24817,,,
24818,,,
24819,,,
24820,,,
24821,,,
24822,0.1922,0.4031,0.5262
24823,0.154,0.6952,0.8636
24824,,,
24825,0.0234,-0.0048,0.0474
24826,,,
24827,0.121,0.2609,0.4258
24828,,,
24829,0.4275,0.3753,0.6593
24830,,,
24831,,,
24832,,,
24833,,,
24834,,,
24835,,,
24836,,,
24837,,,
24838,,,
24839,,,
24840,,,
24841,,,
24842,,,
24843,,,
24844,,,
24845,,,
24846,,,
24847,,,
24848,,,
24849,,,
24850,,,
24851,,,
24852,,,
24853,,,
24854,-0.0407,,
24855,0.1214,0.3157,0.5853
24856,,,
24857,,,
24858,,,
24859,,,
24860,,,
24861,0.008,0.0549,1.8636
24862,,,
24863,,,
24864,,,
24865,,,
24866,,,
24867,,,
24868,,,
24869,,,
24870,,,
24871,0.0304,0.1331,0.149
24872,,-1.5457,-3.717
24873,,,
24874,0.0196,0.0216,0.0232
24875,,,
24876,,,
24877,,,
24878,-0.4839,0.0039,0.0426
24879,0.0119,0.0394,0.3882
24880,,,
24881,,,
24882,,,
24883,,,
24884,,,
24885,,,
24886,,,
24887,,,
24888,,,
24889,,,
24890,,,
24891,0.0527,0.2718,0.2868
24892,,,
24893,,,
24894,,,
24895,,,
24896,,,
24897,0.0246,0.0341,0.0379
24898,,,
24899,,,
24900,,,
24901,0.0642,0.0288,0.0364
24902,,,
24903,,,
24904,,,
24905,,,
24906,0.0501,0.2214,0.2214
24907,,,
24908,,,
24909,,,
24910,,,
24911,,,
24912,,,
24913,,,
24914,,,
24915,,,
24916,,,
24917,,,
24918,,,
24919,,,
24920,,,
24921,,,
24922,,,
24923,,,
24924,,,
24925,,,
24926,,,
24927,,,
24928,,,
24929,,,
24930,,,
24931,0.0216,0.001,0.0011
24932,,,
24933,,,
24934,,,
24935,,,
24936,0.1498,0.3491,0.3629
24937,,,
24938,,,
24939,,,
24940,,,
24941,,,
24942,,,
24943,,,
24944,0.0618,0.3503,1.1959
24945,,,
24946,0.1503,0.8217,1.7822
24947,,,
24948,,,
24949,,,
24950,,,
24951,,,
24952,,,
24953,,,
24954,,,
24955,,,
24956,,,
24957,,,
24958,,,
24959,0.051,0.0013,0.0013
24960,,,
24961,,,
24962,,,
24963,,,
24964,,,
24965,,,
24966,,,
24967,,,
24968,,,
24969,,,
24970,,,
24971,,,
24972,,,
24973,,,
24974,-0.2856,-0.6659,-0.7963
24975,,,
24976,,,
24977,,,
24978,,,
24979,,,
24980,,,
24981,,,
24982,,,
24983,0.1472,0.3902,-2.9833
24984,0.0815,0.0577,0.0673
24985,,,
24986,,,
24987,,,
24988,0.0427,0.221,1.39
24989,,,
24990,,,
24991,,,
24992,,,
24993,,,
24994,,,
24995,,,
24996,,,
24997,0.0657,0.0888,0.1232
24998,-0.3279,3.5797,-2.3943
24999,,,
25000,,,
25001,,,
25002,,,
25003,0.9743,1.2761,2.0165
25004,,,
25005,,,
25006,,,
25007,,,
25008,,,
25009,0.0238,0.0258,0.0516
25010,,,
25011,0.0847,0.0904,0.0904
25012,,,
25013,-0.1799,-0.8402,0.1288
25014,,,
25015,,,
25016,,,
25017,,,
25018,,,
25019,,,
25020,,,
25021,,,
25022,,,
25023,,,
25024,,,
25025,,,
25026,,,
25027,,,
25028,,,
25029,,,
25030,,,
25031,,,
25032,,,
25033,,,
25034,,,
25035,,,
25036,,,
25037,,,
25038,,,
25039,0.0626,0.0531,0.079
25040,,,
25041,,,
25042,0.1577,0.7099,0.9769
25043,,,
25044,,,
25045,,,
25046,,,0.0006
25047,,,
25048,,,
25049,,,
25050,,,
25051,,,
25052,,,
25053,,,
25054,1.0,0.1301,0.1345
25055,,,
25056,,,
25057,,,
25058,,,
25059,,,
25060,0.1141,0.1109,0.1113
25061,0.4784,1.1627,2.0
25062,0.1005,0.045,0.0898
25063,,,
25064,,,
25065,,,
25066,,,
25067,,,
25068,,,
25069,,,
25070,,,
25071,0.1902,0.0371,0.4271
25072,,,
25073,,,
25074,,,
25075,0.0159,0.26,0.8718
25076,,,
25077,,,
25078,,,
25079,,,
25080,,,
25081,,,
25082,,,
25083,,,
25084,,,
25085,,,
25086,,,
25087,-0.4345,-0.2464,4.1248
25088,,,
25089,,,
25090,,,
25091,,,
25092,0.003,0.0285,0.5714
25093,,,
25094,,,
25095,,,
25096,,,
25097,,,
25098,,,
25099,,,
25100,,,
25101,0.5587,0.3481,0.5862
25102,,,
25103,,,
25104,,,
25105,,,
25106,,,
25107,,,
25108,,,
25109,,,
25110,,,
25111,,,
25112,,,
25113,0.0555,0.0164,0.0864
25114,,,
25115,,,
25116,,,
25117,,,
25118,,,
25119,,,
25120,,,
25121,0.4791,0.2772,0.2873
25122,,,
25123,,,
25124,,,
25125,,,
25126,,,
25127,,,
25128,0.1972,0.0093,0.3407
25129,,,
25130,,,
25131,0.0707,0.3243,0.6098
25132,,,
25133,,,
25134,,,
25135,,,
25136,,,
25137,,,
25138,,,
25139,0.0085,0.0039,0.4679
25140,,,
25141,,,
25142,,,
25143,,,
25144,,,
25145,0.0055,-0.0796,13.6031
25146,,,
25147,,,
25148,,,
25149,,,
25150,,,
25151,,,
25152,,,
25153,,,
25154,0.0917,0.4513,1.3658
25155,,,
25156,,,
25157,,,
25158,,,
25159,,,
25160,-13.9,-4.4961,1.0741
25161,,,
25162,,,
25163,,,
25164,,,
25165,0.3787,0.861,1.1224
25166,0.0729,0.223,0.2423
25167,,,
25168,0.3505,0.0911,-1.4069
25169,,,
25170,,,
25171,0.0206,0.3179,0.4776
25172,,,
25173,,,
25174,,,
25175,-0.035,0.0082,0.0091
25176,,,
25177,,,
25178,-0.4232,-3.0564,2.4781
25179,,,
25180,,,
25181,,,
25182,,,
25183,0.9601,0.3591,1.0171
25184,,,
25185,,,
25186,,,
25187,,,
25188,,,
25189,,,
25190,,,
25191,,,
25192,,,
25193,,,
25194,,,
25195,0.5867,1.6484,-35.2414
25196,,,
25197,,,
25198,-0.0279,-0.0233,-0.0716
25199,0.0105,-0.0029,-0.005
25200,,,
25201,,-0.0553,0.0013
25202,,,
25203,,,
25204,0.1567,0.0917,-15.5556
25205,0.0702,0.0926,0.1322
25206,,,
25207,,,
25208,,,
25209,,,
25210,0.0789,0.4208,1.1164
25211,-0.0333,-0.1123,-0.659
25212,,,
25213,,,
25214,,,
25215,,,
25216,0.0391,0.1579,0.3
25217,,,
25218,,,
25219,,,
25220,,,
25221,,,
25222,,,
25223,,,
25224,,,
25225,,,
25226,,,
25227,,,
25228,,,
25229,0.0058,-0.2358,-0.7788
25230,0.0372,0.0045,0.0054
25231,,,
25232,,,
25233,0.8246,0.0147,0.0159
25234,,,
25235,,,
25236,0.199,0.7305,0.7305
25237,,,
25238,0.2783,3.1759,5.8745
25239,-2.7891,-0.1974,1.2431
25240,,,
25241,,,
25242,0.0173,0.0465,0.0623
25243,0.0973,0.1814,0.4127
25244,,,
25245,0.57,1.6333,1.8622
25246,,,
25247,,,
25248,,,
25249,,,
25250,,,
25251,,,
25252,,,
25253,,,
25254,0.0173,-0.0907,-0.256
25255,,,
25256,,,
25257,,,
25258,,,
25259,,,
25260,,,
25261,-1.1329,-0.2142,0.1231
25262,,,
25263,,,
25264,,,
25265,,,
25266,,,
25267,,,
25268,,,
25269,,,
25270,,,
25271,,,
25272,,,
25273,,,
25274,,,
25275,,,
25276,,,
25277,,,
25278,,,
25279,0.068,0.1003,0.1591
25280,,,
25281,,,
25282,,,
25283,,,
25284,,,
25285,,,
25286,,,
25287,,,
25288,,,
25289,,,
25290,,,
25291,,,
25292,0.0858,0.0858,0.1173
25293,,,
25294,,,
25295,,,
25296,,,
25297,0.2667,0.5336,0.5471
25298,,,
25299,0.8364,0.4911,0.4951
25300,,,
25301,,,
25302,,,
25303,,,
25304,,,
25305,,,
25306,,,
25307,,,
25308,0.1328,0.1392,0.1522
25309,,,
25310,,,
25311,,,
25312,,,
25313,0.0432,0.2572,0.3256
25314,,,
25315,0.1492,0.157,0.1794
25316,,,
25317,,,
25318,,,
25319,,,
25320,,,
25321,,,
25322,,,
25323,,,
25324,,,
25325,,,
25326,,,
25327,,,
25328,0.1039,0.9408,1.7246
25329,,,
25330,,,
25331,,,
25332,,,
25333,0.0583,0.2645,0.2745
25334,,,
25335,,,
25336,,,
25337,,,
25338,,,
25339,,,
25340,,,
25341,,,
25342,,,
25343,0.0256,0.0428,0.0434
25344,,,
25345,,,
25346,,,
25347,,,
25348,,,
25349,,,
25350,,,
25351,,,
25352,0.0175,-0.2332,2.0455
25353,,,
25354,0.0507,0.3458,1.9708
25355,0.0352,0.3793,0.5239
25356,,,
25357,,,
25358,0.0222,-0.0004,-0.0004
25359,0.3281,0.6775,2.419
25360,0.0951,0.1054,0.6996
25361,,,
25362,-0.0062,-0.0105,-0.0108
25363,,,
25364,-0.0662,-0.1615,0.6036
25365,,,
25366,,,
25367,,,
25368,0.1721,0.0842,0.0982
25369,,,
25370,,,
25371,,,
25372,,,
25373,0.0584,0.1383,0.1908
25374,-0.4896,0.1085,0.8201
25375,,,
25376,,,
25377,,,
25378,,,
25379,,,
25380,,,
25381,,,
25382,,,
25383,,,
25384,,,
25385,-0.3458,-0.8385,0.8868
25386,,,
25387,0.2672,0.299,-0.8626
25388,,,
25389,,,
25390,0.6743,0.135,0.2362
25391,,,
25392,,,
25393,,,
25394,,,
25395,,,
25396,-1.4729,-0.7044,-8.6777
25397,,,
25398,,,
25399,,,
25400,,,
25401,,,
25402,,,
25403,,,
25404,,,
25405,,,
25406,,,
25407,,,
25408,,,
25409,,,
25410,,,
25411,,,
25412,,,
25413,,,
25414,,,
25415,,,
25416,,,
25417,,,
25418,,,
25419,,,
25420,,,
25421,,,
25422,,,
25423,0.1439,0.4633,0.4633
25424,,,
25425,0.0708,0.1244,0.1437
25426,,,
25427,,,
25428,,,
25429,,,
25430,,,
25431,,,
25432,,,
25433,,,
25434,,,
25435,,,
25436,,,
25437,,,
25438,,,
25439,,,
25440,,,
25441,,,
25442,0.1708,0.2675,0.4008
25443,,,
25444,-74.802,-1.053,-1.0874
25445,0.0178,0.0013,0.1818
25446,,,
25447,,,
25448,,,
25449,,,
25450,,,
25451,,,
25452,,,
25453,,,
25454,,,
25455,,,
25456,,,
25457,,,
25458,,,
25459,,,
25460,,,
25461,,,
25462,,,
25463,,,
25464,,,
25465,,,
25466,,,
25467,,,
25468,-1.9931,-1.5531,0.5241
25469,,,
25470,-0.0178,-0.0107,-0.0131
25471,0.9542,0.1699,0.1779
25472,0.3318,0.5323,0.6605
25473,0.6087,1.1905,1.291
25474,,,
25475,,,
25476,,,
25477,,,
25478,,,
25479,0.0216,-0.7464,-1.1516
25480,0.1457,1.5677,1.804
25481,,,
25482,0.0223,0.004,0.0041
25483,,,
25484,,,
25485,,,
25486,,,
25487,,,
25488,,,
25489,0.0833,0.0001,0.0001
25490,,,
25491,,,
25492,,,
25493,,,
25494,,,
25495,,,
25496,,,
25497,,,
25498,,,
25499,0.1668,2.8852,7.6522
25500,,,
25501,,,
25502,,,
25503,,,
25504,,,
25505,,,
25506,,,
25507,,,
25508,,,
25509,,,
25510,,,
25511,,,
25512,0.3255,-0.0169,-0.0267
25513,,,
25514,,,
25515,,,
25516,,,
25517,,,
25518,,,
25519,,,
25520,,,
25521,0.6372,7.4828,184.3043
25522,,,
25523,,,
25524,,,
25525,,,
25526,,,
25527,,,
25528,,,
25529,,,
25530,,,
25531,,,
25532,0.0135,,
25533,,,
25534,,,
25535,,,
25536,0.0042,-0.0653,-0.0653
25537,,,
25538,0.048,0.212,0.231
25539,,,
25540,,,
25541,,,
25542,,,
25543,,,
25544,0.0835,0.1949,0.5301
25545,,,
25546,,,
25547,0.1674,0.0051,0.0583
25548,,,
25549,,,
25550,0.062,0.0922,0.1174
25551,,,
25552,,,
25553,,,
25554,,,
25555,,,
25556,,,
25557,0.0556,-0.0615,-0.0615
25558,,,
25559,,,
25560,,,
25561,,,
25562,,,
25563,,,
25564,,,
25565,,,
25566,0.0106,0.02,0.0604
25567,,,
25568,,,
25569,-0.0508,0.125,1.9855
25570,,,
25571,,,
25572,,,
25573,0.1188,1.0462,1.5455
25574,,,
25575,,,
25576,,,
25577,,,
25578,,,
25579,,,
25580,,,
25581,-0.4792,-2.2498,1.2587
25582,,,
25583,,,
25584,,,
25585,,,
25586,,,
25587,0.0244,0.0128,0.0216
25588,,,
25589,0.1404,0.0452,0.1201
25590,,,
25591,,,
25592,,,
25593,,,
25594,-0.0794,-0.1774,-0.3154
25595,,,
25596,,,
25597,0.1412,1.6132,2.0182
25598,,,
25599,0.0111,0.1812,0.6682
25600,,,
25601,,,
25602,,,
25603,-0.186,-0.268,-0.9329
25604,,,
25605,0.1491,0.075,0.74
25606,,,
25607,0.0811,0.0474,0.052
25608,,,
25609,,,
25610,0.0347,0.0442,0.0559
25611,,,
25612,-1.2648,-0.5733,0.4215
25613,,,
25614,,,
25615,,,
25616,0.304,0.0229,0.0266
25617,,,
25618,,,
25619,,,
25620,,,
25621,,,
25622,,,
25623,0.0234,0.0563,1.6591
25624,,,
25625,,,
25626,0.5396,0.3184,0.8765
25627,,,
25628,0.1788,0.0726,0.08
25629,,,
25630,,,
25631,,,
25632,0.3197,0.3287,0.4001
25633,,,
25634,,,
25635,0.2632,0.7846,0.9463
25636,,,
25637,,,
25638,,,
25639,,,
25640,0.6,0.1257,0.1364
25641,,,
25642,,,
25643,,,
25644,,,
25645,,,
25646,,,
25647,,,
25648,,,
25649,,,
25650,,,
25651,,,
25652,,,
25653,,,
25654,1.0,0.0028,0.0042
25655,,,
25656,0.1489,0.7626,-0.1046
25657,-0.3123,-0.0746,-0.3442
25658,,,
25659,,,
25660,,,
25661,0.0898,0.4068,1.9636
25662,,,
25663,,,
25664,0.0613,0.004,0.0064
25665,,,
25666,,,
25667,0.1955,0.0427,0.0898
25668,,,
25669,,,
25670,,,
25671,,,
25672,,,
25673,,,
25674,,,
25675,,,
25676,,,
25677,,,
25678,,,
25679,,,
25680,,,
25681,,,
25682,,,
25683,,,
25684,0.0515,0.4455,0.5184
25685,,,
25686,0.4323,0.3816,0.5898
25687,,,
25688,,,
25689,0.0774,0.3715,0.5114
25690,,,
25691,,,
25692,,,
25693,,,
25694,0.1818,0.116,1.6977
25695,,,
25696,,,
25697,,,
25698,,,
25699,,,
25700,,,
25701,,,
25702,,,
25703,,,
25704,,,
25705,,,
25706,,,
25707,,,
25708,,,
25709,,,
25710,,,
25711,,,
25712,,,
25713,,,
25714,,,
25715,,,
25716,0.0505,0.2258,0.796
25717,,,
25718,,,
25719,,,
25720,,,
25721,,,
25722,,,
25723,,,
25724,0.0084,1.042,3.1824
25725,0.059,1.7324,1.9649
25726,0.1638,0.8704,1.0163
25727,,,
25728,,,
25729,,,
25730,,,
25731,,-32.5,0.1789
25732,,,
