,Период погашения кредиторской задолженности,Период оборота запасов,Период погашения дебиторской задолженности,Период оборота основных средств,Период оборота активов
45144,674.79,,168.0,,169.0
45145,,,,,
45146,,,,,
45147,139.53,2.1,47.0,,112.0
45148,,,,,
45149,,,,,
45150,,,,,
45151,,,,,
45152,5.18,,18.0,,63.0
45153,86.9,64.8,29.0,,95.0
45154,,,,,
45155,,,,,
45156,,,,,
45157,,,,,
45158,,,,,
45159,,,,,
45160,,,,,
45161,1702.89,,,,
45162,,,,,
45163,19.21,,913.0,,1399.0
45164,,,,,
45165,,,,,
45166,3345.83,,100.0,126.5,304.0
45167,,,,,
45168,,,,,
45169,,,,,
45170,,,,,
45171,,,,,
45172,,,,,
45173,,,,,
45174,,,,,
45175,,,,,
45176,65.67,,211.0,,300.0
45177,24.09,,722.0,0.7,5303.0
45178,,,10929.0,,107014.0
45179,,,,,
45180,79.13,,33.0,178.6,439.0
45181,,,,,
45182,,,,,
45183,,,,,
45184,,,,,
45185,,,,,
45186,,,,,
45187,1.31,,29.0,,33.0
45188,,,,,
45189,,,,,
45190,,,,,
45191,,,,,
45192,79.46,0.3,34.0,,54.0
45193,,,,,
45194,,,,,
45195,,,,,
45196,,,,,
45197,67.22,64.5,49.0,1.6,122.0
45198,,,76.0,,92.0
45199,,,,,
45200,,,,,
45201,3.8,16.6,1.0,,20.0
45202,,,,,
45203,43.59,13.3,173.0,,189.0
45204,29.92,,,,
45205,,,,,
45206,,,,,
45207,,,,,
45208,,,,,
45209,,,,,
45210,,,,,
45211,,,,,
45212,,,,,
45213,53.37,4.3,86.0,,435.0
45214,,,,,
45215,,,,,
45216,,,,,
45217,,,,,
45218,3.54,,15.0,,31.0
45219,277.1,,,,
45220,,,,,
45221,,,,,
45222,19.4,,,,
45223,,,,,
45224,74.53,,125.0,,184.0
45225,,,,,
45226,,,,,
45227,,,,,
45228,,,,,
45229,,,,,
45230,,,,,
45231,,,,,
45232,,,,,
45233,,,,,
45234,,,,,
45235,,,,,
45236,,,,,
45237,,,,,
45238,,,,,
45239,,,,,
45240,,,,,
45241,,,,,
45242,10.39,,37.0,,114.0
45243,,,,,
45244,,,,,
45245,,,,,
45246,,,,,
45247,,,,,
45248,,,,,
45249,,,,,
45250,,,,,
45251,,,,,
45252,,,,,
45253,,,,,
45254,,,,,
45255,,,,,
45256,,,,,
45257,,,,,
45258,,,,,
45259,,,,,
45260,,,,,
45261,,,,,
45262,,,,,
45263,,,,,
45264,,,,,
45265,267.14,,2.0,,16.0
45266,,,,,
45267,,,,,
45268,,,,,
45269,,,,,
45270,,,,,
45271,689.65,45.6,615.0,,761.0
45272,,,,,
45273,,,,,
45274,,,,,
45275,,,,,
45276,,,,,
45277,,,,,
45278,,0.2,44.0,0.7,188.0
45279,264.73,0.1,55.0,65.9,363.0
45280,,,228.0,6.7,347.0
45281,226.87,,224.0,,230.0
45282,2.07,,619.0,,665.0
45283,,,,,
45284,,,,,
45285,,,,,
45286,,,,,
45287,2203.55,,1482.0,,1668.0
45288,,,,,
45289,,,,,
45290,,,,,
45291,139.88,,15.0,,69.0
45292,,,,,
45293,,,,,
45294,,,,,
45295,,,,,
45296,,,,,
45297,,,,,
45298,,,,,
45299,,,,,
45300,64.66,32.2,44.0,45.2,127.0
45301,,,,,
45302,946.17,114.8,1686.0,,1807.0
45303,,,,,
45304,,,,,
45305,,,,,
45306,,,,,
45307,36.67,2.2,61.0,,121.0
45308,,,,,
45309,,,,,
45310,975.37,,557.0,,572.0
45311,,,,,
45312,,,,,
45313,,,,,
45314,,,,,
45315,,,,,
45316,,,,,
45317,,,,,
45318,,,,,
45319,,,,,
45320,37.53,18.1,3472.0,75.7,3956.0
45321,,,,,
45322,24.27,0.2,46.0,0.8,115.0
45323,,,,,
45324,,,,,
45325,,,,,
45326,,,,,
45327,59.61,,44.0,8.6,83.0
45328,,,,,
45329,,,,,
45330,,,,,
45331,,,,,
45332,455.26,119.5,26.0,5.9,152.0
45333,,,,,
45334,,,,,
45335,,,,,
45336,31.61,7.3,65.0,,165.0
45337,,,,,
45338,,,,,
45339,446.0,,,,
45340,58.76,0.2,82.0,1.3,121.0
45341,,,,,
45342,,,,,
45343,,,,,
45344,,,,,
45345,,,,,
45346,,,,,
45347,58.26,5.4,38.0,,124.0
45348,,,,,
45349,,,,,
45350,,,,,
45351,,,,,
45352,,,,,
45353,,,,,
45354,78.68,,,,
45355,,,,,
45356,,,,,
45357,,,,,
45358,,,,,
45359,10.96,,12.0,,21.0
45360,4.83,,2.0,,6.0
45361,,,,,
45362,1128.74,1025.5,251.0,183.8,1461.0
45363,548.26,213.6,177.0,,442.0
45364,167.9,,,,
45365,,,,,
45366,125.12,,43.0,,56.0
45367,35222.5,,9068.0,892.0,10781.0
45368,,,,,
45369,,,,,
45370,,,2.0,,26.0
45371,,,,,
45372,,,,,
45373,,,,,
45374,,,,,
45375,,,,,
45376,,,,,
45377,,,,,
45378,,,,,
45379,,,,,
45380,,,,,
45381,,,,,
45382,,,,,
45383,2318.82,,,,
45384,,,,,
45385,,,,,
45386,,,,,
45387,,,,,
45388,2081.65,1643.6,498.0,,2196.0
45389,2.61,,6.0,,112.0
45390,,,,,
45391,,,,,
45392,,,,,
45393,1239.81,69.3,1170.0,0.2,1240.0
45394,68.56,8.2,38.0,2.6,73.0
45395,,,,,
45396,,,,,
45397,,,,,
45398,,,,,
45399,,,,,
45400,3.76,0.4,14.0,,497.0
45401,53.3,11.8,46.0,1.4,74.0
45402,46.08,14.9,104.0,,159.0
45403,80.25,,,,137.0
45404,30.64,,40.0,,139.0
45405,,,,,
45406,,,,,
45407,892.36,,1925.0,,2197.0
45408,21.73,4.1,51.0,,95.0
45409,,,,,
45410,,,,,
45411,,,,,
45412,,,127.0,,138.0
45413,,,,,
45414,39.48,0.5,26.0,5.0,237.0
45415,,,,,
45416,116.54,67.6,80.0,12.1,290.0
45417,,,,,
45418,,,,,
45419,,,,,
45420,,,,,
45421,,,,,
45422,,,,,
45423,,,,,
45424,,411.8,454.0,,1858.0
45425,,,,,
45426,,,,,
45427,,,,,
45428,,,,,
45429,,,,,
45430,270.71,153.2,8143.0,,8349.0
45431,22.38,26.1,45.0,5.0,95.0
45432,,,,,
45433,,,,,
45434,,,,,
45435,,,,,
45436,,,,,
45437,,,,,
45438,,,,,
45439,32.62,4.8,616.0,17.8,697.0
45440,,,,,
45441,,,,,
45442,,,,,
45443,1859583.75,,1370466.0,,1371232.0
45444,,,,,
45445,281.47,9.1,95.0,,112.0
45446,,,,,
45447,,,,,
45448,,,124.0,917.2,28754.0
45449,6.96,,87.0,,152.0
45450,3.04,7.2,497.0,,714.0
45451,,,,,
45452,30.96,,25.0,15.6,53.0
45453,438.76,26.0,762.0,0.9,858.0
45454,,,,,
45455,,,,,
45456,,,,,
45457,,,,,
45458,,,,,
45459,,,,,
45460,,,,,
45461,,,,,
45462,,,,,
45463,14.21,3.5,2.0,,15.0
45464,,,,,
45465,,,,,
45466,,,,,
45467,,,,,
45468,,,,,
45469,,,,,
45470,48.67,,35.0,,113.0
45471,,,,,
45472,20.01,,70.0,,75.0
45473,,,,,
45474,,,,,
45475,,,,,
45476,,,,,
45477,2964.46,,159.0,,173.0
45478,,,,,
45479,,,,,
45480,,,,,
45481,,,,,
45482,,,,,
45483,,,,,
45484,,,,,
45485,,,,,
45486,40.87,,400.0,,469.0
45487,,,,,
45488,,,100.0,,207.0
45489,91.72,8.1,110.0,,149.0
45490,,,,,
45491,,,,,
45492,,,,,
45493,,,,,
45494,,,,,
45495,,,,,
45496,,,,,
45497,32.79,0.3,34.0,,158.0
45498,,,,,
45499,,,,,
45500,,,,,
45501,,,,,
45502,,,,,
45503,,,19.0,,102.0
45504,720.22,,1480.0,,1483.0
45505,,,,,
45506,30.75,,105.0,,105.0
45507,,,,,
45508,,,,,
45509,,,,,
45510,,,,,
45511,19.58,1.2,20.0,,35.0
45512,,,,,
45513,,,,,
45514,,,,,
45515,,,,,
45516,,,,,
45517,,,,,
45518,,,,,
45519,,,,,
45520,,,,,
45521,,,,,
45522,,,,,
45523,,,,,
45524,741.78,18.4,98.0,,301.0
45525,,,,,
45526,38.88,187.1,65.0,,291.0
45527,147.62,2.9,7.0,,37.0
45528,,,,,
45529,32.64,14.1,66.0,1.3,159.0
45530,86.95,13.4,45.0,7.6,90.0
45531,274.75,,63.0,0.3,98.0
45532,43.23,57.7,102.0,5.3,325.0
45533,,,,,
45534,82.89,49.5,50.0,,233.0
45535,845.81,,20.0,0.9,255.0
45536,,,,,
45537,,,,,
45538,,,,,
45539,,,,,
45540,29.86,30.6,84.0,12.0,193.0
45541,,,,,
45542,,,,,
45543,,,,,
45544,,,,,
45545,,,,,
45546,3.54,,147.0,,350.0
45547,3376.25,,,,
45548,,,,,
45549,44.08,38.3,98.0,,149.0
45550,,,,,
45551,,,,,
45552,,,,,
45553,,,,,
45554,,,,,
45555,,,,,
45556,,,,,
45557,32.43,,16.0,6.6,72.0
45558,,,,,
45559,,,,,
45560,3.9,,60.0,,82.0
45561,,,,,
45562,,,,,
45563,934.45,294.5,976.0,,1369.0
45564,,,,,
45565,121139.44,29.2,256.0,65.6,381.0
45566,,,,,
45567,,,,,
45568,,,,,
45569,,,,,
45570,,,,,
45571,,,,,
45572,,,,,
45573,,,,,
45574,,,,,
45575,,,,,
45576,,,,,
45577,,,,,
45578,,,,,
45579,,,,,
45580,,,,,
45581,70.4,,641.0,,644.0
45582,105.55,,199.0,,200.0
45583,,,,,
45584,391.8,46.6,688.0,149.1,913.0
45585,,,,,
45586,,,,,
45587,,,,,
45588,,,,,
45589,2.74,,91.0,,105.0
45590,,,,,
45591,,,,,
45592,,,,,
45593,,,,,
45594,,,,,
45595,,,,,
45596,41.79,,79.0,,137.0
45597,,,,,
45598,,,,,
45599,,,,,
45600,,,,,
45601,,,,,
45602,,,,,
45603,,,,,
45604,,73.0,164.0,,245.0
45605,,,,,
45606,,,,,
45607,,,,,
45608,,,,,
45609,,,,,
45610,,,,,
45611,,,,,
45612,,,,,
45613,,,,,
45614,,,,,
45615,,,,,
45616,5556.54,121.7,13140.0,,23117.0
45617,,,,,
45618,,,,,
45619,,,,,
45620,,,,,
45621,,,,,
45622,103.85,56.9,16.0,,75.0
45623,3.68,,20.0,,31.0
45624,21.8,,1.0,,82.0
45625,,,,,
45626,,,,,
45627,1666.75,,,,
45628,,,,,
45629,,,,,
45630,,,,,
45631,,,,,
45632,,,,,
45633,,,,,
45634,,,,,
45635,24.01,,,,
45636,,,142.0,,148.0
45637,,,,,
45638,,,,,
45639,,,,,
45640,,,,,
45641,,,,,
45642,,,,,
45643,,,,,
45644,,,,,
45645,,,,,
45646,,,,,
45647,,,,,
45648,,,,,
45649,125.0,0.8,26.0,2.8,88.0
45650,,,,,
45651,,,,,
45652,,,,,
45653,,,,,
45654,,,,,
45655,,,,,
45656,,,,,
45657,,,,,
45658,,16.1,,,39.0
45659,,,,,
45660,,,,,
45661,,,,,
45662,21.42,0.1,712.0,0.5,737.0
45663,,,,,
45664,,,,,
45665,,,,,
45666,,,,,
45667,,,,,
45668,,,,,
45669,,,,,
45670,,,,,
45671,,,1483.0,,1499.0
45672,2257.11,2.0,13.0,23.2,54.0
45673,,,,,
45674,,,,,
45675,,,,,
45676,2.33,,,,87.0
45677,,,,,
45678,,,,,
45679,,,3194.0,,3409.0
45680,,,,,
45681,,,,,
45682,,,,,
45683,,,,,
45684,,,,,
45685,,,,,
45686,,,,,
45687,,,,,
45688,,,,,
45689,,,,,
45690,,,,,
45691,,,,,
45692,,,,,
45693,182.5,1076.8,475.0,,1734.0
45694,,,,,
45695,,,,,
45696,303.64,,,,
45697,,,,,
45698,,,,,
45699,,,,,
45700,0.45,,5.0,,5.0
45701,26.37,,,,92.0
45702,,,36.0,,52.0
45703,,,,,
45704,,,,,
45705,,,,,
45706,,,,,
45707,24.63,,31.0,0.2,52.0
45708,,,,,
45709,,,,,
45710,148.09,,,10.8,588.0
45711,,,,,
45712,35.14,,456.0,2.7,1054.0
45713,,,,,
45714,,,,,
45715,,,,,
45716,,,,,
45717,,,,,
45718,,,,,
45719,,,,,
45720,,,,,
45721,,,,,
45722,,,,,
45723,,393713.3,24820.0,760.4,455094.0
45724,29.41,,148.0,,160.0
45725,,,,,
45726,,,,,
45727,4907.15,955.5,1719.0,3110.7,5799.0
45728,,,,,
45729,,,,,
45730,,,,,
45731,,,,,
45732,,,,,
45733,,,,,
45734,,,,,
45735,16.75,,76.0,,116.0
45736,,,,,
45737,,,,,
45738,,,,,
45739,,,,,
45740,,,,,
45741,,,,,
45742,,,,,
45743,,,,,
45744,2.64,,83.0,,84.0
45745,,,,,
45746,,,,,
45747,,,,,
45748,,,,,
45749,,,,,
45750,,,,,
45751,,,,,
45752,,,,,
45753,,,,,
45754,,,,,
45755,,,,,
45756,31.55,,26.0,,121.0
45757,,,,,
45758,91.25,,,,
45759,,,,,
45760,,,,,
45761,,,,,
45762,136.88,,116.0,,748.0
45763,,,,,
45764,,,,,
45765,,,,,
45766,,,,,
45767,229.34,159.1,73.0,1.0,249.0
45768,,,,,
45769,,,,,
45770,,,,,
45771,,,,,
45772,,,,,
45773,,,,,
45774,254.89,,296.0,218.9,515.0
45775,,,,,
45776,,,,,
45777,,,,,
45778,,,,,
45779,,,,,
45780,,,,,
45781,,,,,
45782,,,,,
45783,,,,,
45784,,,,,
45785,,,,,
45786,,,,,
45787,,,,,
45788,,,,,
45789,,,,,
45790,,,,,
45791,,,,,
45792,,,,,
45793,24.33,,18.0,,53.0
45794,,,,,
45795,,,,,
45796,,,,,
45797,876.33,,,,
45798,,,,,
45799,,,,,
45800,,,,,
45801,,,,,
45802,,,,,
45803,,,,,
45804,,,,,
45805,,,,,
45806,,,,,
45807,362.41,,5.0,,16.0
45808,,,,,
45809,,,,,
45810,,,,,
45811,,,,,
45812,,,,,
45813,,,,,
45814,,,,,
45815,,,,,
45816,,,,,
45817,,,,,
45818,,,,,
45819,,,,,
45820,,,,,
45821,,,,,
45822,,,,,
45823,,,,,
45824,11.74,,851.0,113.1,1415.0
45825,338.23,0.1,12.0,2.6,32.0
45826,,,,,
45827,,,,,
45828,,,,,
45829,,,,,
45830,,,,,
45831,,,,,
45832,,,,,
45833,,,,,
45834,,,,,
45835,,,,,
45836,,,,,
45837,,,,,
45838,,,,,
45839,162.34,,216.0,,224.0
45840,,,,,
45841,,,,,
45842,,,,,
45843,,,,,
45844,,,,,
45845,,,,,
45846,91.94,1.0,731.0,,791.0
45847,,,,,
45848,,,,,
45849,,,,,
45850,,,,,
45851,,,,,
45852,,,,,
45853,,,,,
45854,,,,,
45855,,,,,
45856,,,,,
45857,,,,,
45858,54293.75,,,,
45859,57.9,58.4,286.0,,367.0
45860,,,,,
45861,,,,,
45862,,,,,
45863,,,,,
45864,,,,,
45865,,,,,
45866,374.88,0.1,5.0,0.3,14.0
45867,93.48,75.1,20.0,,364.0
45868,,,,,
45869,,,,,
45870,,,,,
45871,,,,,
45872,,,,,
45873,,,,,
45874,,,,,
45875,,,,,
45876,64.18,48.8,1.0,1.8,52.0
45877,,,,,
45878,92.32,,6065.0,,7230.0
45879,,,,,
45880,,,,,
45881,,,,,
45882,,,,,
45883,292.06,,953.0,7.1,1657.0
45884,,,,,
45885,36.95,1.3,76.0,6.1,212.0
45886,477.72,,62.0,,829.0
45887,27.84,20.3,61.0,,101.0
45888,,,,,
45889,,,,,
45890,,,,,
45891,2.54,,20.0,1.8,33.0
45892,,,,,
45893,,,,,
45894,,,,,
45895,,,,,
45896,10630.63,,3418.0,,3534.0
45897,,,,,
45898,,,,,
45899,,,,,
45900,,,,,
45901,,,,,
45902,,,,,
45903,,,,,
45904,,,,,
45905,,,,,
45906,,,,,
45907,,,,,
45908,,,,,
45909,,,,,
45910,,,,,
45911,,,,,
45912,,,,,
45913,,,,,
45914,,,,,
45915,,,,,
45916,57.52,,551.0,12.6,855.0
45917,,,,,
45918,,,,,
45919,,,,,
45920,,,,,
45921,,,,,
45922,,,,,
45923,,,,,
45924,52.62,,2.0,,67.0
45925,,,,,
45926,,,,,
45927,,,,,
45928,,,,,
45929,,,,,
45930,,,,,
45931,,,,,
45932,,,,,
45933,,,,,
45934,,,,,
45935,,,,,
45936,,,,,
45937,,,,,
45938,,,,,
45939,,,,,
45940,,,,,
45941,,,,,
45942,,,,,
45943,21.43,127.8,43928.0,,44220.0
45944,290.35,5.1,270.0,124.3,462.0
45945,,,,,
45946,,,,,
45947,,,,,
45948,,,,,
45949,,,,,
45950,,,,,
45951,,,,,
45952,,,,,
45953,,,,,
45954,,,,,
45955,,,,,
45956,,,,,
45957,0.85,,1.0,,33.0
45958,,,,,
45959,,,,,
45960,,,,,
45961,,,,,
45962,,,,,
45963,,,,,
45964,,,,,
45965,,,,,
45966,5.41,,7.0,3.6,28.0
45967,,,,,
45968,,,,,
45969,,,,,
45970,,,,,
45971,,,,,
45972,,,,,
45973,,,,,
45974,,,,,
45975,,,,,
45976,,,,,
45977,2.17,,579.0,1.7,6018.0
45978,,,,,
45979,,,,,
45980,,,,,
45981,,,,,
45982,,,,,
45983,,,,,
45984,,,,,
45985,,,,,
45986,,,,,
45987,5.79,1.9,15.0,1.3,35.0
45988,,,,,
45989,722.78,45.2,84.0,,136.0
45990,,,,,
45991,,,,,
45992,,,,,
45993,,,,,
45994,,,,,
45995,,,,,
45996,,,,,
45997,,,,,
45998,,,,,
45999,,,,,
46000,,,,,
46001,,,,,
46002,31.8,,245.0,,259.0
46003,,,,,
46004,,,,,
46005,,,,,
46006,54.57,,338.0,,2969.0
46007,,,,,
46008,1481.89,226.8,1371.0,,1614.0
46009,,,,,
46010,,,,,
46011,,,,,
46012,,,,,
46013,328.54,0.6,482.0,,499.0
46014,,,,,
46015,,,,,
46016,,,,,
46017,,,,,
46018,,,,,
46019,,,,,
46020,,,,,
46021,,,,,
46022,,,,,
46023,,,,,
46024,,,,,
46025,21.95,,97.0,,238.0
46026,108.56,,,,63.0
46027,,,,,
46028,220.36,,,,
46029,,,,,
46030,,,,,
46031,,,,,
46032,,,,,
46033,,,,,
46034,40.69,,37.0,,110.0
46035,,,,,
46036,,,,,
46037,,,,,
46038,12.68,,,,70.0
46039,,,,,
46040,,,,,
46041,,,,,
46042,,,,,
46043,,,,,
46044,,,,,
46045,,,,,
46046,,,,,
46047,,,,,
46048,110.8,,,,
46049,,,,,
46050,,,,,
46051,,,,,
46052,,,,,
46053,,,,,
46054,,,,,
46055,,,,,
46056,20.25,2.7,,,23.0
46057,,,,,
46058,,,,,
46059,,,,,
46060,,,,,
46061,57.32,0.3,7.0,,58.0
46062,349.83,30.6,38.0,0.1,209.0
46063,,,,,
46064,,,,,
46065,,,,,
46066,,,,,
46067,,,,,
46068,,,,,
46069,,,,,
46070,,,,,
46071,,,,,
46072,114.34,1.3,503.0,,508.0
46073,219.46,,956.0,,29512.0
46074,,,,,
46075,,,,,
46076,116.23,,17.0,28.4,106.0
46077,,,,,
46078,,,,,
46079,,,,,
46080,,,,,
46081,338.65,,179.0,,337.0
46082,41.73,,232.0,,237.0
46083,,,,,
46084,,,,,
46085,23.17,,,,
46086,,,,,
46087,,,,,
46088,59.72,,,,
46089,,,,,
46090,,,,,
46091,,,,,
46092,,,,,
46093,,,,,
46094,,,,,
46095,,,,,
46096,,,,,
46097,,,,,
46098,,,,,
46099,,,,,
46100,,,,,
46101,,,,,
46102,,,,,
46103,,,,,
46104,,,,,
46105,,,,,
46106,,,,,
46107,,,,,
46108,655.24,6.6,96.0,,119.0
46109,,,,,
46110,,,,,
46111,,,,,
46112,,,,,
46113,,,,,
46114,115.78,,8.0,,125.0
46115,,,,,
46116,,,,,
46117,235.78,151.4,173.0,2.0,440.0
46118,,,,,
46119,226.79,,21.0,,120.0
46120,,,,,
46121,14413.17,,,,
46122,,,,,
46123,,,,,
46124,19.78,,5.0,,64.0
46125,,,,,
46126,,,,,
46127,,,,,
46128,,,,,
46129,,,,,
46130,,,,,
46131,,,,,
46132,,,,,
46133,278.48,,256.0,,386.0
46134,,,,,
46135,,,,,
46136,,,,,
46137,,,,,
46138,,,,,
46139,,,,,
46140,,,,,
46141,,,,,
46142,601.74,,1226.0,,1227.0
46143,,,,,
46144,,,,,
46145,,,,,
46146,,,,,
46147,,,,,
46148,,,,,
46149,,,,,
46150,,,,,
46151,,,,,
46152,,,,,
46153,6.68,1.5,6.0,,39.0
46154,,,,,
46155,,,,,
46156,,,,,
46157,,,,,
46158,,,,,
46159,,,,,
46160,,,,,
46161,,,,,
46162,,,,,
46163,,,,,
46164,,,,,
46165,,,,,
46166,,,,,
46167,,,,,
46168,,,,,
46169,,,,,
46170,,,,,
46171,,,,,
46172,,,,,
46173,,,,,
46174,0.93,,7.0,,12.0
46175,,,,,
46176,,,,,
46177,,,,,
46178,,,,,
46179,,,,,
46180,6.51,599.4,18.0,12.5,768.0
46181,,,,,
46182,,,,,
46183,21.46,,70.0,,155.0
46184,,,,,
46185,,,,,
46186,,,,,
46187,,,,,
46188,,,,,
46189,,,,,
46190,,,,,
46191,,,,,146.0
46192,,,,,
46193,,,,,
46194,,,,,
46195,,,,,
46196,,,,,
46197,,,,,
46198,,,,,
46199,,,,,
46200,,,,,
46201,,,,,
46202,,,,,
46203,,,,,
46204,,,,,
46205,58.53,,21.0,2.2,580.0
46206,,,,,
46207,6.77,,25.0,3.1,344.0
46208,,,,,
46209,4.87,,1.0,,90.0
46210,,,,,
46211,,,,,
46212,,,,,
46213,,,,,
46214,30.34,,120.0,,170.0
46215,,,,,
46216,,,,,
46217,,,,,
46218,,,,,
46219,,,,,
46220,,,,,
46221,,,,,
46222,,,,,
46223,,,548.0,,13073.0
46224,,,,,
46225,,,,,
46226,,,,,
46227,,,,,
46228,,,,,
46229,,,,,
46230,,,,,
46231,,,,,
46232,,,,,
46233,,,,,
46234,,,,,
46235,,,,,
46236,,,,,
46237,,,,,
46238,,,,,
46239,,,,,
46240,416.29,-91.9,321.0,,416.0
46241,,,,,
46242,443.76,,329.0,,332.0
46243,,,,,
46244,146.41,129.6,41.0,1.1,182.0
46245,,,,,
46246,,,,,
46247,,,,,
46248,,,,,
46249,,,,,
46250,,,,,
46251,,,,,
46252,,,,,
46253,,,39603.0,,39724.0
46254,,,,,
46255,,,,,
46256,,,,,
46257,,,,,
46258,,,,,
46259,,,,,
46260,,,,,
46261,136.88,,,,
46262,,,,,
46263,16.35,,15.0,,115.0
46264,,,,,
46265,,,,,
46266,,,,,
46267,,,,,
46268,,,,,
46269,,,,,
46270,73.17,,45.0,,106.0
46271,,,,,
46272,,,,,
46273,,,,,
46274,,,,,
46275,,,,,
46276,,,,,
46277,,,,,
46278,,,,,
46279,,,,,
46280,,,,,
46281,77.33,519.4,1207.0,,1727.0
46282,,,,,
46283,,,,,
46284,,,,,
46285,,,,,
46286,,,,,
46287,502.66,477.9,507.0,,1007.0
46288,,,,,
46289,,,,,
46290,,,,,
46291,,,,,
46292,,,,,
46293,,,,,
46294,,,,,
46295,156.55,23.2,40.0,,127.0
46296,,,,,
46297,,,,,
46298,,,,,
46299,,,,,
46300,,,,,
46301,,,,,
46302,,,,,
46303,223.07,0.6,129.0,,226.0
46304,,,,,
46305,,,,,
46306,,,,,
46307,,,,,
46308,,,,,
46309,,,,,
46310,,,18.0,,201.0
46311,,,,,
46312,,,,,
46313,255.81,,126.0,2120.0,2343.0
46314,,,,,
46315,,,,,
46316,44.85,2205.5,108.0,,2425.0
46317,,,,,
46318,,,,,
46319,59.75,,4451.0,,4495.0
46320,,,,,
46321,,,,,
46322,,,,,
46323,94.16,0.1,105.0,0.4,141.0
46324,203874.62,,,,
46325,,,,,
46326,,,,,
46327,,,,,
46328,255.5,,161.0,,483.0
46329,,,,,
46330,,,,,
46331,,,,,
46332,,,,,
46333,16.26,8.0,69.0,0.5,79.0
46334,,,,,
46335,,,,,
46336,,,,,
46337,436.45,37.1,389.0,0.3,436.0
46338,,,,,
46339,1.77,,-18.0,,-11.0
46340,,,,,
46341,61.03,638.0,3.0,,641.0
46342,,,,,
46343,5.64,,,,52.0
46344,,,,,
46345,12.66,37.3,91.0,,164.0
46346,,,,,
46347,,,,,
46348,33.75,,35.0,,40.0
46349,37.19,0.2,27.0,109.9,166.0
46350,,,,,
46351,,,,,
46352,30.18,,,,
46353,,,,,
46354,,,,,
46355,2.54,,110.0,,238.0
46356,,,,,
46357,,,,,
46358,,,,,
46359,21.47,,20.0,,101.0
46360,,,,,
46361,,,,,
46362,,,,,
46363,6.61,,64.0,0.3,129.0
46364,,,,,
46365,,,,,
46366,,,,,
46367,,,,,
46368,,,,,
46369,68.25,4.8,26.0,,81.0
46370,,,,,
46371,,,,,
46372,,,,,
46373,,,,,
46374,,,,,
46375,,,,,
46376,,,,,
46377,,,,,
46378,68.61,,4.0,,94.0
46379,41.75,,,,
46380,,,,,
46381,,,,,
46382,,,,,
46383,17.69,,67.0,1.0,176.0
46384,,,,,
46385,,,,,
46386,23.77,10.1,21.0,66.7,112.0
46387,,,,,
46388,123.49,0.2,77.0,,95.0
46389,,,,,
46390,92.96,8.4,145.0,0.3,161.0
46391,,,,,
46392,3163.33,182.5,119.0,,438.0
46393,,,,,
46394,,,,,
46395,,,,,
46396,,,,,
46397,,,,,
46398,,,,,
46399,,,,,
46400,,,,,
46401,,,,,
46402,,,,,
46403,,,,,
46404,92.41,,,,
46405,,,,,
46406,,,,,
46407,,,,,
46408,,,,,
46409,,,,,
46410,,,,,
46411,,,,,
46412,,,,,
46413,20.91,,1.0,3.2,26.0
46414,,,,,
46415,114.06,,,,
46416,,,,,
46417,,,,,
46418,,,,,
46419,,,,,
46420,,,,,
46421,,,,,
46422,,,,,
46423,36.07,17.8,18.0,12.0,51.0
46424,,,,,
46425,,,,,
46426,,,,,
46427,,,,,
46428,,,,,
46429,,,,,
46430,,,,,
46431,,,,,
46432,,,,,
46433,,,,,
46434,,,,,
46435,,,,,
46436,,,,,
46437,,,,,
46438,,,,,
46439,,,,,
46440,3.24,,8.0,,32.0
46441,111.53,,,,
46442,,,,,
46443,31.95,,154.0,,209.0
46444,,,,,
46445,4998.1,,,,
46446,,,,,
46447,,,,,
46448,,,21.0,,21.0
46449,,,,,
46450,,,,,
46451,,,,,
46452,,,,,
46453,45.25,21.8,76.0,,110.0
46454,,,,,
46455,,,,,
46456,,,,,
46457,,,,,
46458,14.18,0.7,587.0,0.7,614.0
46459,,,,,
46460,,,,,
46461,,,,,
46462,182.5,,,,
46463,37.34,,38.0,16.8,81.0
46464,,,,,
46465,,,,,
46466,,,,,
46467,,,,,
46468,383.76,3.7,20.0,131.7,206.0
46469,,,,,
46470,,,,,
46471,,,,,
46472,,,,,
46473,83.57,,320.0,,330.0
46474,,,,,
46475,,,,,
46476,,,,,
46477,67.6,,685.0,,820.0
46478,,,,,
46479,,,,,
46480,,,,,
46481,,,,,
46482,,,,,
46483,50.17,,49.0,,138.0
46484,,,,,
46485,,,,,
46486,382.84,87.8,255.0,4.4,390.0
46487,,,,,
46488,,,,,
46489,,,,,
46490,,,,,
46491,,,,,
46492,,,,,
46493,45.24,1.0,98.0,24.2,140.0
46494,,,,,
46495,,,183.0,,191.0
46496,,,,,
46497,,,,,
46498,,,,,
46499,13.27,,41.0,,139.0
46500,4.36,,674.0,82.7,26642.0
46501,,,,,
46502,,,,,
46503,,,,,
46504,,,,,
46505,,,,,
46506,,,,,
46507,,,,,
46508,,,,,
46509,,,,,
46510,,,,,
46511,,,,,
46512,,,,,
46513,,,,,
46514,,,,,
46515,,,,,
46516,,,,,
46517,,,,,
46518,,,,,
46519,1662608.18,,,,
46520,,,,,
46521,,,,,
46522,,,,,
46523,,,,,
46524,,,,,
46525,,,,,
46526,,,,,
46527,,,,,
46528,,,,,
