,Период погашения кредиторской задолженности,Период оборота запасов,Период погашения дебиторской задолженности,Период оборота основных средств,Период оборота активов
332,,,,,
333,219.25,31.7,204.0,6.7,245.0
334,,,,,
335,7090.69,60.2,356.0,,488.0
336,,,,,
337,,,,,
338,51.76,7.4,38.0,9.5,59.0
339,,,,,
340,,,,,
341,187.57,,106.0,,353.0
342,,,,,
343,,,,,
344,,,,,
345,,,,,
346,119.66,9.2,101.0,0.7,123.0
347,,,,,
348,,,,,
349,,,,,
350,,,,,
351,,,,,
352,,,,,
353,799.4,666.9,54.0,39.9,897.0
354,173.81,6.9,,,182.0
355,,,,,
356,,,,,
357,135.83,2.8,88.0,2.2,137.0
358,,,,,
359,,,,,
360,,,,,
361,,,,,
362,,,,,
363,,,,,
364,,,,,
365,146.19,33.5,89.0,35.8,170.0
366,,,,,
367,,,,,
368,,,,,
369,,,,,
370,,,,,
371,37.69,112.0,42.0,,395.0
372,,,,,
373,,,,,
374,,,,,
375,,,,,
376,,,,,
377,,,,,
378,,,,,
379,,,,,
380,,,,,
381,,,,,
382,,,,,
383,,,,,
384,140.51,20.2,166.0,6.7,205.0
385,,,,,
386,,,,,
387,,,,,
388,,,,,
389,2133.48,19.3,2052.0,,2106.0
390,,,,,
391,,,,,
392,,,,,
393,,,,,
394,114.09,20.2,142.0,,173.0
395,,,,,
396,,,,,
397,,,,,
398,,,,,
399,,,,,
400,,,,,
401,,,,,
402,,,,,
403,,,,,
404,,,,,
405,,,,,
406,,,,,
407,,,,,
408,,,,,
409,169.69,14.0,152.0,0.4,170.0
410,669.83,124.4,367.0,,616.0
411,,,,,
412,,,,,
413,,,,,
414,,,,,
415,,,,,
416,,,,,
417,,,,,
418,,,,,
419,,,,,
420,,,,,
421,,,,,
422,,,,,
423,,,,,
424,,,,,
425,70.62,3.3,61.0,1.0,69.0
426,,,,,
427,,,,,
428,,,,,
429,,,,,
430,,,,,
431,419.15,56.1,377.0,0.1,400.0
432,,,,,
433,,,,,
434,,,,,
435,6.0,0.3,,,5.0
436,,,,,
437,,,,,
438,,,,,
439,,,,,
440,,,,,
441,,,,,
442,,,,,
443,,,,,
444,,,,,
445,,,,,
446,,,,,
447,,,,,
448,,,,,
449,,,,,
450,,,,,
451,,,,,
452,,,,,
453,,,,,
454,,,,,
455,,,,,
456,,,,,
457,,,,,
458,,,,,
459,119.55,40.1,70.0,3.9,120.0
460,2080.08,124.5,1876.0,119.6,2129.0
461,14.38,6.8,10.0,2.9,25.0
462,,,,,
463,,,,,
464,,,,,
465,212.92,,106.0,,214.0
466,,,,,
467,,,,,
468,,,,,
469,88.53,33.9,28.0,10.2,74.0
470,,,,,
471,,,,,
472,,,,,
473,,,,,
474,32.24,185.7,89.0,,278.0
475,,,,,
476,120.17,76.0,67.0,4.6,151.0
477,,,,,
478,,,,,
479,312.31,32.7,180.0,,285.0
480,,,,,
481,,,,,
482,,,,,
483,,,,,
484,189.57,124.3,142.0,33.4,305.0
485,,,,,
486,,,,,
