,Доходы,Расходы,Расходы,Валовая прибыль (убыток),Коммерческие расходы,Управленческие расходы,Прибыль (убыток) от продажи,Чистая прибыль (убыток)
37055,,,,,,,,
37056,,,,,,,,
37057,,,,,,,,
37058,,,,,,,,
37059,,,,,,,,
37060,,,,,,,,
37061,,,,,,,,
37062,,,,,,,7000.0,6000.0
37063,,,,,,,,
37064,,,,,,,,
37065,,,,,,,1292000.0,231000.0
37066,,,,,,,,
37067,,,,,,,,
37068,,,,,,,,
37069,,,,,,,,
37070,,,,,,,,
37071,,,,,,,,
37072,,,,,,,,
37073,,,,,,,,
37074,,,,,,,,
37075,,,,,,,,
37076,,,,146000.0,,5334000.0,-5188000.0,-4177000.0
37077,,,,,,,,
37078,,,,,,,,
37079,,,,,,,,
37080,,,,,,,,
37081,,,,,,,,
37082,,,,,,,,
37083,,,,,,,,
37084,,,,,,,,
37085,,,,,,,-156000.0,-99000.0
37086,,,,,,,,
37087,,,,,,,,
37088,,,,,,,,
37089,,,,,,,,
37090,,,,,,,,
37091,,,,,,,,
37092,,,,,,,10155000.0,8039000.0
37093,,,,,,,,
37094,,,,,,,-143000.0,-207000.0
37095,,,,,,,,
37096,,,,,,,,
37097,,,,,,,,
37098,,,,,,,,
37099,,,,,,,,
37100,,,,,,,,
37101,,,,,,,,
37102,,,,,,,,
37103,,,,,,,,
37104,,,,8696000.0,,,8696000.0,7250000.0
37105,,,,,,,,
37106,,,,,,,,
37107,,,,,,,,
37108,,,,,,,,
37109,,,,,,,-828000.0,-857000.0
37110,,,,,,,164000.0,115000.0
37111,,,,,,,,
37112,,,,,,,,
37113,,,,,,,,
37114,,,,5763000.0,,7423000.0,-1660000.0,-685000.0
37115,,,,,,,,
37116,,,,,,,,
37117,,,,4554000.0,4258000.0,,296000.0,296000.0
37118,,,,,,,,
37119,,,,,,,325000.0,170000.0
37120,,,,,,,150000.0,142000.0
37121,,,,,,,,
37122,,,,,,,,
37123,,,,,,104000.0,-104000.0,-108000.0
37124,,,,,,,,
37125,,,,,,,,
37126,,,,,,,,
37127,,,,,,,,
37128,,,,,,,,
37129,,,,21000.0,,,21000.0,18000.0
37130,,,,-580000.0,,75000.0,-655000.0,-1126000.0
37131,,,,,,,,
37132,,,,,,,,
37133,,,,,,,1110000.0,-4113000.0
37134,,,,,,,,
37135,,,,,,,,
37136,,,,,,,5042000.0,3430000.0
37137,,,,,,,,
37138,,,,,,,,
37139,,,,,,,263000.0,245000.0
37140,,,,,,,,
37141,,,,,,,,
37142,,,,,,,,
37143,,,,,,,,
37144,,,,,,,,
37145,,,,,,,-101000.0,-131000.0
37146,,,,,,,,
37147,,,,,,,,
37148,,,,,,,,
37149,,,,,,,,
37150,,,,,,,,
37151,,,,,,,,
37152,,,,,,,,
37153,,,,,,,,
37154,,,,,,,,
37155,,,,,,,,
37156,,,,,,,,
37157,,,,,,,,
37158,,,,,,,,
37159,,,,,,,,
37160,,,,,,,,
37161,,,,,,,-34000.0,-28000.0
37162,,,,,,,1405000.0,1091000.0
37163,,,,,,,,
37164,,,,,,,,
37165,,,,,,,,
37166,,,,,,,,
37167,,,,,,,,10000.0
37168,,,,,,,,
37169,,,,,,,,
37170,,,,,,,,
37171,,,,,,,-2014000.0,-2084000.0
37172,,,,,,,,
37173,,,,,,,,
37174,,,,,,,,
37175,,,,,,,,
37176,,,,,,,,
37177,,,,,,,,
37178,,,,,,,,
37179,,,,,,,,
37180,,,,,,,26000.0,21000.0
37181,,,,,,,,
37182,,,,,,,,
37183,,,,,,,,
37184,,,,,,,,
37185,,,,,,,,
37186,,,,,,,,
37187,,,,-26000.0,,,-26000.0,-27000.0
37188,,,,,,,,
37189,,,,,,,,
37190,,,,,,,142000.0,87000.0
37191,,,,,,,,
37192,,,,,,,499000.0,389000.0
37193,,,,,,,,
37194,,,,,,,646000.0,554000.0
37195,,,,,,,,
37196,,,,,,,,
37197,,,,,,,,
37198,,,,,,,,
37199,,,,,,,277000.0,18000.0
37200,,,,,,,,
37201,,,,,,,,
37202,,,,,,,,
37203,,,,,,,,
37204,,,,,,,,
37205,,,,,,,-65000.0,-96000.0
37206,,,,,,,,
37207,,,,252000.0,,1311000.0,-1059000.0,1033000.0
37208,,,,,,,,
37209,,,,,,,1251000.0,1080000.0
37210,,,,,,,,
37211,,,,,,,,
37212,,,,,,,,
37213,,,,,,,,
37214,,,,,,,,
37215,,,,,,,13268000.0,8143000.0
37216,,,,,,,,
37217,,,,,,,,
37218,,,,,,,,
37219,,,,,,,,
37220,,,,,,,,
37221,,,,,,,,
37222,,,,,,,,
37223,,,,,,,,
37224,,,,,,,,
37225,,,,,,,,
37226,,,,5711000.0,2778000.0,,2933000.0,3200000.0
37227,,,,,,,116000.0,-531000.0
37228,,,,,,,,
37229,,,,,,,,
37230,,,,,,,,
37231,,,,,,,,
37232,,,,,,,,
37233,,,,,,,,
37234,,,,,,,,
37235,,,,,,,,
37236,,,,,,,,
37237,,,,,,,,
37238,,,,,,,,
37239,,,,,,,,-2000.0
37240,,,,,,,,
37241,,,,,,,,
37242,,,,,,,,
37243,,,,,,,,
37244,,,,,,,,
37245,,,,,,,,
37246,,,,,,,,
37247,,,,,,8000.0,-8000.0,-289000.0
37248,,,,,,,,
37249,,,,,,,,
37250,,,,,,,,
37251,,,,,,,,
37252,,,,,,,,
37253,,,,,,,,
37254,,,,,,,15267000.0,13527000.0
37255,,,,,,,,
37256,,,,,,,,
37257,,,,,,,,
37258,,,,,,,,
37259,,,,,,,39000.0,11000.0
37260,,,,,,,,
37261,,,,,,,,
37262,,,,,,,,
37263,,,,,,,33000.0,-37000.0
37264,,,,13053000.0,,11984000.0,1069000.0,11137000.0
37265,,,,,,,,
37266,,,,,,,,
37267,,,,,,,,
37268,,,,,,,,
37269,,,,,,,,
37270,,,,,,,,
37271,,,,,,,,
37272,,,,,,,,
37273,,,,,,,,
37274,,,,,,,-1000.0,-3000.0
37275,,,,,,,1000.0,
37276,,,,,,,,
37277,,,,,,,,
37278,,,,,,,,
37279,,,,,,,,
37280,,,,,,,,
37281,,,,,,,,
37282,,,,,,,-1422000.0,-2776000.0
37283,,,,,,,,
37284,,,,,,,,
37285,,,,,,,,
37286,,,,,,,,
37287,,,,,,,,
37288,,,,,,,,
37289,,,,,,,1143000.0,925000.0
37290,,,,,,,2702000.0,143000.0
37291,,,,,,,,
37292,,,,,,,,
37293,,,,,,,,
37294,,,,,,,,
37295,,,,,,,,
37296,,,,,,,,
37297,,,,,,,,
37298,,,,,,,,
37299,,,,,,,-102000.0,-122000.0
37300,,,,,,,,
37301,,,,,,,,
37302,,,,,,,,
37303,,,,,,,,
37304,,,,,,,5166000.0,7610000.0
37305,,,,,,,-72000.0,-142000.0
37306,,,,,,,22000.0,15000.0
37307,,,,,,,,
37308,,,,,,,,
37309,,,,,,,,
37310,,,,,,,787000.0,498000.0
37311,,,,,,,-1420000.0,56000.0
37312,,,,,,,,
37313,,,,,,,,
37314,,,,,,,,
37315,,,,,,,,
37316,,,,,,,41592000.0,34621000.0
37317,,,,660000.0,,557000.0,103000.0,42000.0
37318,,,,,,,,
37319,,,,,,,,
37320,,,,,,,,
37321,,,,,,,,
37322,,,,,,,,
37323,,,,,,,-24000.0,-32000.0
37324,,,,,,,,
37325,,,,,,,,
37326,,,,,,,,
37327,,,,,,,,
37328,,,,,,,3179000.0,2492000.0
37329,,,,,,,,
37330,,,,,,,,
37331,,,,,,,,
37332,,,,,,,,
37333,,,,,,,,
37334,,,,,,,,
37335,,,,,,,,
37336,,,,,,,22198000.0,20909000.0
37337,,,,,,,27701000.0,21407000.0
37338,,,,,,,,
37339,,,,,,,296000.0,272000.0
37340,,,,,,,,
37341,,,,,,,,
37342,,,,,,,,
37343,,,,,,,,
37344,,,,698000.0,,437000.0,261000.0,205000.0
37345,,,,,,,,
37346,,,,,,,,
37347,,,,,,,,
37348,,,,,,,,
37349,,,,,,,,
37350,,,,,,,,
37351,,,,,,,,
37352,,,,,,,,
37353,,,,,,,,
37354,,,,,,,,
37355,,,,,,,,
37356,,,,,,,,
37357,,,,,,,,
37358,,,,,,,,
37359,,,,,,,,
37360,,,,,,,,
37361,,,,,,,536000.0,303000.0
37362,,,,,,,25000.0,22000.0
37363,,,,,,,,
37364,,,,,,,,
37365,,,,,,,,
37366,,,,,,,,
37367,,,,,,,,
37368,,,,,,,,
37369,,,,,,,,
37370,,,,,,,,
37371,,,,,,,,
37372,,,,,,,,
37373,,,,,,,126000.0,113000.0
37374,,,,,,,-171000.0,-171000.0
37375,,,,,,,,
37376,,,,,,,,
37377,,,,,,,,
37378,,,,,,,,
37379,,,,,,,,
37380,,,,,,,-27000.0,-54000.0
37381,,,,,,,,
37382,,,,,,,31000.0,23000.0
37383,,,,,,,,
37384,,,,,,,,
37385,,,,,,,,
37386,,,,,,,,
37387,,,,165000.0,,,165000.0,-653000.0
37388,,,,,,,,
37389,,,,1431000.0,,,1431000.0,1205000.0
37390,,,,,,17000.0,-17000.0,-20000.0
37391,,,,,,,,
37392,,,,,,,,
37393,,,,,,,,
37394,,,,,,,,
37395,,,,,,,,
37396,,,,,,,,
37397,,,,,,,,
37398,,,,,,,,
37399,,,,,,,1156000.0,1104000.0
37400,,,,,,,,
37401,,,,,,,6236000.0,5273000.0
37402,,,,,,,-53000.0,-53000.0
37403,,,,,,,,
37404,,,,,,,,
37405,,,,,,,,
37406,,,,,,,,
37407,,,,,,,,
37408,,,,,,,,
37409,,,,,,,,
37410,,,,,,,,
37411,,,,,,,,
37412,,,,,,,,
37413,,,,,,,,
37414,,,,,,,,
37415,,,,,,,,
37416,,,,,,,8000.0,3000.0
37417,,,,,,,,
37418,,,,,,,,
37419,,,,,,,,
37420,,,,,,,,
37421,,,,,,,,
37422,,,,,,,,
37423,,,,,,,,
37424,,,,,,,,
37425,,,,,,,,
37426,,,,,,,-9674000.0,-10221000.0
37427,,,,-3000.0,,,-3000.0,-3000.0
37428,,,,,,,,
37429,,,,,,,-7000.0,-9000.0
37430,,,,,,,,
37431,,,,,,,,
37432,,,,,,,,
37433,,,,,,,,
37434,,,,,,,,
37435,,,,,,,,
37436,,,,,,,,
37437,,,,,,,,
37438,,,,,,,56000.0,41000.0
37439,,,,4425000.0,,929000.0,3496000.0,1777000.0
37440,,,,,,,-55000.0,12000.0
37441,,,,,,,,
37442,,,,,,,,
37443,,,,,,,,
37444,,,,,,,,
37445,,,,,,,,
37446,,,,,,,,
37447,,,,,,,,
37448,,,,,,,380000.0,336000.0
37449,,,,,,,34000.0,11000.0
37450,,,,,,,,
37451,,,,,,,,
37452,,,,,,,,
37453,,,,,,,,
37454,,,,,,,,
37455,,,,,,,-3091000.0,-4675000.0
37456,,,,,,,,
37457,,,,,,,,
37458,,,,,,,,
37459,,,,,,,,
37460,,,,,,,,
37461,,,,,,,,
37462,,,,,,,,
37463,,,,,,,7422000.0,6173000.0
37464,,,,,,,,
37465,,,,,,,,
37466,,,,,,,,
37467,,,,,,,,
37468,,,,,,,,
37469,,,,,,,,
37470,,,,,,,,
37471,,,,,,,55000.0,55000.0
37472,,,,,,,,
37473,,,,,,,805000.0,-52000.0
37474,,,,,,,,
37475,,,,,,,14848000.0,12765000.0
37476,,,,,,,,
37477,,,,,,,,
37478,,,,,,,11544000.0,12065000.0
37479,,,,,,,,
37480,,,,,,,,
37481,,,,,,,-1194000.0,-1268000.0
37482,,,,,,,,
37483,,,,,,,,
37484,,,,,,,,
37485,,,,,,,,
37486,,,,,,,,
37487,,,,,,,,
37488,,,,,,,,
37489,,,,,,,,
37490,,,,,,,,-1000.0
37491,,,,,,,,
37492,,,,,,,,
37493,,,,1014000.0,,,1014000.0,114000.0
37494,,,,,,,-3531000.0,-5552000.0
37495,,,,1092000.0,,777000.0,315000.0,-5111000.0
37496,,,,,,,,
37497,,,,,,,8000.0,7000.0
37498,,,,,,,,
37499,,,,,,,,
37500,,,,,,,,
37501,,,,,,,,
37502,,,,,,,706000.0,651000.0
37503,,,,,,,95000.0,58000.0
37504,,,,,,,,
37505,,,,,,,,
37506,,,,,,,,
37507,,,,,,,,
37508,,,,,,,53000.0,1000.0
37509,,,,,,,,
37510,,,,,,,-565000.0,561000.0
37511,,,,,,,2128000.0,1801000.0
37512,,,,,,,,
37513,,,,,,,-23000.0,-22000.0
37514,,,,,,,,
37515,,,,,,,,
37516,,,,,,,,
37517,,,,,,,,
37518,,,,,,,,
37519,,,,9927000.0,,,9927000.0,8213000.0
37520,,,,,,,,
37521,,,,,,,,
37522,,,,1820000.0,,,1820000.0,1820000.0
37523,,,,,,,,
37524,,,,,,,,
37525,,,,,,,,
37526,,,,,,,,
37527,,,,,,,-248000.0,-222000.0
37528,,,,,,,,
37529,,,,,,,,-68000.0
37530,,,,,,,,
37531,,,,,,,,
37532,,,,,,,,
37533,,,,,,,261000.0,262000.0
37534,,,,,,,,
37535,,,,,,,,
37536,,,,,,,6184000.0,3810000.0
37537,,,,,,,,
37538,,,,,,,,
37539,,,,,,,-3093000.0,-3109000.0
37540,,,,,,,8000.0,1000.0
37541,,,,,,,1091000.0,1209000.0
37542,,,,,,,,
37543,,,,,,,,
37544,,,,2519000.0,112000.0,988000.0,1420000.0,763000.0
37545,,,,,,,-996000.0,-1074000.0
37546,,,,,,,,
37547,,,,,,,147000.0,66000.0
37548,,,,,,,,
37549,,,,,,,-193000.0,-985000.0
37550,,,,,,,,
37551,,,,,,,,
37552,,,,,,,-356000.0,-287000.0
37553,,,,,,,,
37554,,,,,,,,
37555,,,,,,,,
37556,,,,,,,,
37557,,,,,,,-115000.0,-153000.0
37558,,,,,,,,
37559,,,,,,,,
37560,,,,,,,,
37561,,,,,,,,
37562,,,,,,,,
37563,,,,,,,1498000.0,1313000.0
37564,,,,,,,,
37565,,,,,,,,
37566,,,,,,,,
37567,,,,,,,4390000.0,313000.0
37568,,,,,,,,
37569,,,,,,,-35000.0,-115000.0
37570,,,,,,,,
37571,,,,,,,9984000.0,8911000.0
37572,,,,,,,-109000.0,-132000.0
37573,,,,,,,,
37574,,,,,,,,
37575,,,,,,,,
37576,,,,,,,,
37577,,,,,,,,
37578,,,,,,,53000.0,-25000.0
37579,,,,,,,1160000.0,1111000.0
37580,,,,,,,,
37581,,,,,,,-1000.0,-9000.0
37582,,,,,,,,
37583,,,,,,,4981000.0,4702000.0
37584,,,,,,,,
37585,,,,,,,,
37586,,,,,,,,
37587,,,,,,,,
37588,,,,,,,,
37589,,,,,,,,
37590,,,,,,,,
37591,,,,,,,,
37592,,,,-59000.0,,,-59000.0,-63000.0
37593,,,,,,,,
37594,,,,,,,,
37595,,,,,,,,
37596,,,,,,,,
37597,,,,,,,,
37598,,,,,,,,
37599,,,,,,,,
37600,,,,,,,452000.0,384000.0
37601,,,,,,,,
37602,,,,,,,,
37603,,,,,,,,
37604,,,,,,,,-2000.0
37605,,,,,,,,
37606,,,,,,,,
37607,,,,,,,,
37608,,,,,,,,
37609,,,,,,,,
37610,,,,,,,,
37611,,,,,,,,-2000.0
37612,,,,,,,,
37613,,,,,,,242000.0,200000.0
37614,,,,,,,,
37615,,,,,,,,
37616,,,,,,,,
37617,,,,,,,,
37618,,,,,,,736000.0,560000.0
37619,,,,,,,,
37620,,,,,,,,
37621,,,,,,,,
37622,,,,,,,,
37623,,,,,,,,
37624,,,,,,,,
37625,,,,,,,,
37626,,,,,,,,
37627,,,,,,,1797000.0,1743000.0
37628,,,,636000.0,171000.0,,465000.0,459000.0
37629,,,,,,,,
37630,,,,,,,,
37631,,,,,,,,
37632,,,,,,,-236000.0,-165000.0
37633,,,,,,,,
37634,,,,,,,,
37635,,,,,,,,
37636,,,,,,,,
37637,,,,,,,,
37638,,,,,,,,
37639,,,,,,,485000.0,452000.0
37640,,,,,,,,
37641,,,,,,,,
37642,,,,,,,,
37643,,,,,,,,
37644,,,,,,,-141000.0,-146000.0
37645,,,,,,,,
37646,,,,,,,-21000.0,-26000.0
37647,,,,,,,,
37648,,,,,,,,
37649,,,,,,,,
37650,,,,,,,,
37651,,,,,,,,
37652,,,,30000.0,,,30000.0,20000.0
37653,,,,,,,,
37654,,,,,,,,
37655,,,,,,,,
37656,,,,,,,255000.0,12000.0
37657,,,,,,,,
37658,,,,,,,,
37659,,,,,,,,
37660,,,,,,,,
37661,,,,,,,,
37662,,,,,,,,
37663,,,,,,,-663000.0,-695000.0
37664,,,,,,,,
37665,,,,,,,,
37666,,,,,,,,
37667,,,,,,,,
37668,,,,,,,,
37669,,,,,,,,
37670,,,,,,,1449000.0,509000.0
37671,,,,,,,,
37672,,,,,,,,
37673,,,,,,,,
37674,,,,,,,91000.0,17000.0
37675,,,,,,,,
37676,,,,,,,,
37677,,,,,,,,
37678,,,,,,,,
37679,,,,,,,,
37680,,,,,,,,
37681,,,,,,,,
37682,,,,,,,,
37683,,,,,,,,
37684,,,,,,,,
37685,,,,,,,,
37686,,,,,,,,-24000.0
37687,,,,,,,3653000.0,3566000.0
37688,,,,,,,,
37689,,,,,,,164000.0,68000.0
37690,,,,437000.0,,,437000.0,367000.0
37691,,,,,,,,
37692,,,,,,,,
37693,,,,,,,,
37694,,,,,,,,
37695,,,,,,,,
37696,,,,,,,,
37697,,,,,,,,
37698,,,,,,,,-106000.0
37699,,,,,,,,
37700,,,,,,,,
37701,,,,,,,,
37702,,,,,,,,
37703,,,,,,,,
37704,,,,,,,,
37705,,,,,,,,
37706,,,,,,,3335000.0,3134000.0
37707,,,,,,,,
37708,,,,,,,,
37709,,,,,,,,
37710,,,,,,,,
37711,,,,,,,,
37712,,,,,,,,
37713,,,,,,,,
37714,,,,,,,,
37715,,,,,,,,
37716,,,,,,,,
37717,,,,,,,52849000.0,39341000.0
37718,,,,5786000.0,,,5786000.0,3498000.0
37719,,,,,,,,
37720,,,,,,,,
37721,,,,,,,,
37722,,,,,,,556000.0,539000.0
37723,,,,,,,,
37724,,,,,,,,
37725,,,,,,,,
37726,,,,645000.0,572000.0,,73000.0,73000.0
37727,,,,,,,,
37728,,,,,,,,
37729,,,,,,,,
37730,,,,,,,,
37731,,,,-40000.0,,598000.0,-638000.0,-1903000.0
37732,,,,,,,,
37733,,,,,,,,
37734,,,,,,,285000.0,225000.0
37735,,,,,,,2759000.0,2291000.0
37736,,,,,,,,
37737,,,,,,,,
37738,,,,,,,,
37739,,,,,,,,
37740,,,,,,,,
37741,,,,,,,,
37742,,,,,,,,
37743,,,,,,,,
37744,,,,,,,,
37745,,,,,,,,
37746,,,,,,,,
37747,,,,,,,,
37748,,,,,,,,
37749,,,,,,,,
37750,,,,,,,55000.0,-58000.0
37751,,,,,,,1604000.0,944000.0
37752,,,,,,,,
37753,,,,,,,,
37754,,,,,,,,
37755,,,,,,,,
37756,,,,6699000.0,,4592000.0,2107000.0,996000.0
37757,,,,,,,,
37758,,,,,,,,
37759,,,,,,,,
37760,,,,,,,,
37761,,,,,,,,
37762,,,,,,,,
37763,,,,1312000.0,,,1312000.0,291000.0
37764,,,,,,,,
37765,,,,,,,,
37766,,,,,,,,
37767,,,,,,,,
37768,,,,,,,34000.0,32000.0
37769,,,,,,,,
37770,,,,,,,425000.0,58000.0
37771,,,,,,,,
37772,,,,,,,,
37773,,,,,,,,
37774,,,,,,,,
37775,,,,,,,-13000.0,31000.0
37776,,,,,,,28809000.0,27656000.0
37777,,,,,,,,
37778,,,,,,,,
37779,,,,-133000.0,,,-133000.0,-337000.0
37780,,,,,,,,
37781,,,,,,,,
37782,,,,,,,-42000.0,-42000.0
37783,,,,,,,,
37784,,,,,,,,
37785,,,,,,,,
37786,,,,,,,,
37787,,,,,,,,
37788,,,,,,,-211000.0,-266000.0
37789,,,,,,,,
37790,,,,,,,,
37791,,,,,,,,
37792,,,,,,,,
37793,,,,,,,,
37794,,,,,,,,
37795,,,,,,,-46000.0,-54000.0
37796,,,,,,,,
37797,,,,,,,,
37798,,,,,,,,
37799,,,,,,,,
37800,,,,,,,,
37801,,,,,,,,
37802,,,,,,,,
37803,,,,,,,,
37804,,,,,,,,
37805,,,,,,,,
37806,,,,,,,,
37807,,,,,,,,
37808,,,,,,,,
37809,,,,,,,,
37810,,,,,,,,
37811,,,,,,,,
37812,,,,,,,1491000.0,115000.0
37813,,,,,,,,
37814,,,,,,,,
37815,,,,,,,,
37816,,,,,,,,
37817,,,,,,,,
37818,,,,,,,,
37819,,,,,,,,
37820,,,,,,,11396000.0,6785000.0
37821,,,,,,,,
37822,,,,,,,,
37823,,,,,,,-26000.0,9000.0
37824,,,,3628000.0,,2540000.0,1088000.0,833000.0
37825,,,,,,,,
37826,,,,,,,,
37827,,,,,,,100000.0,155000.0
37828,,,,,,,,
37829,,,,,,,,
37830,,,,,,,,
37831,,,,,,,2684000.0,2246000.0
37832,,,,,,,,
37833,,,,,,,,
37834,,,,,,,-11302000.0,-75386000.0
37835,,,,,,,,
37836,,,,,,,,
37837,,,,,,,,
37838,,,,,,,,
37839,,,,,,,,
37840,,,,,,,,
37841,,,,,,,,
37842,,,,,,,,
37843,,,,,,,,
37844,,,,,,,-58000.0,-56000.0
37845,,,,,,,,
37846,,,,,,,,
37847,,,,,,,,
37848,,,,,,,-239000.0,271000.0
37849,,,,,,,,
37850,,,,,,,,
37851,,,,,,,,
37852,,,,,,,,
37853,,,,,,,,
37854,,,,,,,,
37855,,,,,,,,
37856,,,,,,,,-1000.0
37857,,,,,,,,
37858,,,,,,,,
37859,,,,,,,-141000.0,-381000.0
37860,,,,,,,-3534000.0,-4730000.0
37861,,,,,,,,
37862,,,,,,,,
37863,,,,,,,,
37864,,,,,,,-669000.0,-757000.0
37865,,,,,,,,
37866,,,,,,,,
37867,,,,55421000.0,55338000.0,,83000.0,83000.0
37868,,,,,,,-87000.0,-29000.0
37869,,,,,,,,
37870,,,,,,,-300000.0,-367000.0
37871,,,,,,,,
37872,,,,,,,,
37873,,,,,,,,
37874,,,,,,,,
37875,,,,,,,-210000.0,-443000.0
37876,,,,,,,,
37877,,,,,,,,
37878,,,,,,,,
37879,,,,,,,,
37880,,,,410000.0,,358000.0,52000.0,-8000.0
37881,,,,,,,,
37882,,,,,,,,
37883,,,,,,,,
37884,,,,,,,,
37885,,,,,,,,
37886,,,,,,,,
37887,,,,,,,,
37888,,,,-292000.0,,,-292000.0,-388000.0
37889,,,,,,,,
37890,,,,,,,,
37891,,,,,,,,
37892,,,,,,,401000.0,286000.0
37893,,,,,,,,
37894,,,,,,,,
37895,,,,,,,,
37896,,,,,,,,
37897,,,,,,,,
37898,,,,,,,,
37899,,,,,,,-6000.0,-21000.0
37900,,,,,,,,
37901,,,,,,,42000.0,36000.0
37902,,,,,,,,
37903,,,,,,,,
37904,,,,,,,,
37905,,,,,,,,
37906,,,,,,,,
37907,,,,,,,,
37908,,,,,,,,
37909,,,,,,,,
37910,,,,,,,,
37911,,,,,,,-9000.0,-19000.0
37912,,,,,,,,
37913,,,,1411000.0,,915000.0,496000.0,13000.0
37914,,,,,,,,
37915,,,,,,,,
37916,,,,,,,,
37917,,,,,,,,
37918,,,,,,,,
37919,,,,,,,,
37920,,,,,,,,
37921,,,,,,,,
37922,,,,,,,,
37923,,,,,,,,
37924,,,,48000.0,,,48000.0,48000.0
37925,,,,,,,-30000.0,-58000.0
37926,,,,,,,,
37927,,,,,,,,
37928,,,,,,,,
37929,,,,,,,,
37930,,,,,,,,
37931,,,,,,,,
37932,,,,,,,,
37933,,,,,,,,
37934,,,,,,,,
37935,,,,,,,,
37936,,,,,,,,
37937,,,,,,,,
37938,,,,,,,,
37939,,,,,,,,
37940,,,,,,,,
37941,,,,,,,3391000.0,1082000.0
37942,,,,,,,,
37943,,,,,,,6694000.0,5262000.0
37944,,,,,,,,
37945,,,,,,,,
37946,,,,,,,,
37947,,,,,,,,
37948,,,,,,,-178000.0,-185000.0
37949,,,,23000.0,,,23000.0,11000.0
37950,,,,,,,,
37951,,,,22773000.0,,18161000.0,4612000.0,4621000.0
37952,,,,,,,,
37953,,,,,,,212000.0,186000.0
37954,,,,,,,1000.0,
37955,,,,,,,,
37956,,,,2634000.0,,,2634000.0,2634000.0
37957,,,,,,,,
37958,,,,,,,,
37959,,,,,,,,
37960,,,,,,,,
37961,,,,,,,306000.0,219000.0
37962,,,,,,,,
37963,,,,,,,,
37964,,,,993000.0,,,993000.0,993000.0
37965,,,,,,,76000.0,60000.0
37966,,,,,,,,
37967,,,,,,,356000.0,144000.0
37968,,,,15824000.0,,10212000.0,5612000.0,8432000.0
37969,,,,,,,,
37970,,,,,,,,
37971,,,,,,,,
37972,,,,,,,,
37973,,,,,,,,
37974,,,,,,,,-14000.0
37975,,,,,,,,
37976,,,,,,,,
37977,,,,,,,,
37978,,,,,,,,
37979,,,,,,,,
37980,,,,,,,,
37981,,,,,,,,-1000.0
37982,,,,,,,,
37983,,,,,,,,
37984,,,,,,,,
37985,,,,,,,,
37986,,,,,,,-52000.0,-114000.0
37987,,,,,,,,
37988,,,,,,,,
37989,,,,,,,,
37990,,,,,,,-16000.0,-18000.0
37991,,,,,,,,
37992,,,,,,,,
37993,,,,,,,,
37994,,,,,,,,
37995,,,,,,,,
37996,,,,,,,-318000.0,-386000.0
37997,,,,,,,,
37998,,,,,,,,
37999,,,,,,,,
38000,,,,,,,,
38001,,,,,,,,
38002,,,,,,,,
38003,,,,,,,,
38004,,,,,,,,
38005,,,,,,,,
38006,,,,,,,,
38007,,,,,,,3708000.0,3264000.0
38008,,,,,,,339000.0,36000.0
38009,,,,,,,,
38010,,,,,,,,
38011,,,,,,,,
38012,,,,,,,,
38013,,,,,,,,
38014,,,,231000.0,,,231000.0,78000.0
38015,,,,,,,,
38016,,,,,,,,
38017,,,,,,,,
38018,,,,,,,,
38019,,,,,,,,
38020,,,,,,,,
38021,,,,,,,,
38022,,,,,,,,
38023,,,,,,,,
38024,,,,,,,,
38025,,,,,,,,
38026,,,,,,,,
38027,,,,,,,,
38028,,,,,,,,
38029,,,,,,,,
38030,,,,,,,,
38031,,,,,,,,
38032,,,,8043000.0,,4890000.0,3153000.0,-1216000.0
38033,,,,,,,-1367000.0,-1403000.0
38034,,,,,,,,
38035,,,,,,,,
38036,,,,,,,,
38037,,,,,,,,
38038,,,,,,,,
38039,,,,,,,,
38040,,,,,,,,
38041,,,,,,,2782000.0,2479000.0
38042,,,,,,,,
38043,,,,,,,,
38044,,,,,,,,
38045,,,,,,,,
38046,,,,,,,,
38047,,,,,,,164000.0,35000.0
38048,,,,,,,,
38049,,,,,,,,
38050,,,,,,,,
38051,,,,,,,,
38052,,,,,,,,
38053,,,,,,,,
38054,,,,,,,,
38055,,,,,,,,
38056,,,,,,,28000.0,87000.0
38057,,,,,,,,
38058,,,,,,,283000.0,-169000.0
38059,,,,,,,,
38060,,,,,,,,
38061,,,,,,,,
38062,,,,,,,,
38063,,,,,,,,
38064,,,,,,,,
38065,,,,,,,1462000.0,1107000.0
38066,,,,,,,,
38067,,,,1073000.0,920000.0,,153000.0,31000.0
38068,,,,,,,,
38069,,,,,,,,
38070,,,,,,,,
38071,,,,,,,,
38072,,,,,,,1626000.0,1416000.0
38073,,,,,,,,
38074,,,,,,,,
38075,,,,,,,,
38076,,,,,,,,
38077,,,,,,,,
38078,,,,,,,,
38079,,,,,,,,
38080,,,,,,,,
38081,,,,,,,,
38082,,,,,,,,
38083,,,,,,,,
38084,,,,,,,,
38085,,,,,,,,
38086,,,,,,,,
38087,,,,,,,,
38088,,,,,,,,
38089,,,,,,,,
38090,,,,,,,,
38091,,,,,,,,
38092,,,,,,,344000.0,329000.0
38093,,,,,,,,
38094,,,,,,,,
38095,,,,,,,496000.0,416000.0
38096,,,,,,,,
38097,,,,,,,,
38098,,,,,,,,
38099,,,,,,,,
38100,,,,,,,,
38101,,,,,,,,
38102,,,,,,,,
38103,,,,,,,-25000.0,7000.0
