,Доходы,Расходы,Расходы,Валовая прибыль (убыток),Коммерческие расходы,Управленческие расходы,Прибыль (убыток) от продажи,Чистая прибыль (убыток)
253,,,,2329000.0,1529000.0,560000.0,240000.0,180000.0
254,,,,,,,,
255,,,,,,,,
256,,,,,,,,
257,,,,,,,,
258,,,,,,,-487000.0,-512000.0
259,,,,,,,,
260,,,,,,,,
261,,,,,,,,
262,,,,,,,,
263,,,,,,,2000.0,-7000.0
264,,,,,,,,
265,,,,,,,,
266,,,,,,,,
267,,,,,,,-176000.0,-179000.0
268,,,,418000.0,,96000.0,322000.0,148000.0
269,,,,,,,,
270,,,,,,,,
271,,,,,,,,
272,,,,,,,,
273,,,,,,,4071000.0,3179000.0
274,,,,,,,22000.0,5000.0
275,,,,,,,,
276,,,,,,,,
277,,,,,,,,
278,,,,,,,,
279,,,,,,,,
280,,,,,,,,
281,,,,,,,,
282,,,,,,,,
283,,,,,,,,
284,,,,,,,,
285,,,,3174000.0,,3404000.0,-230000.0,76000.0
286,,,,,,,,
287,,,,,,,-3015000.0,19000.0
288,,,,,,,,
289,,,,,,,,
290,,,,,,,,
291,,,,104583000.0,,28761000.0,75822000.0,106042000.0
292,,,,,,,,
293,,,,,,,,
294,,,,,,,,
295,,,,,,,,
296,,,,,,,,
297,,,,,,,,
298,,,,,,,,
299,,,,,,,,
300,,,,,,,,
301,,,,,,,,
302,,,,,,,,
303,,,,,,,,
304,,,,,,,,
305,,,,,,,,
306,,,,7393000.0,,,7393000.0,523000.0
307,,,,,,,,
308,,,,,,,,
309,,,,,,,,
310,,,,,,,6251000.0,4309000.0
311,,,,,,,-562000.0,-578000.0
312,,,,,,,,
313,,,,,,,,
314,,,,1251000.0,4000.0,1006000.0,241000.0,174000.0
315,,,,,,,,
316,,,,,,,,
317,,,,,,,,
318,,,,,,,1058000.0,677000.0
319,,,,,,,,
320,,,,,,,,
321,,,,,,,,
322,,,,,,,,
323,,,,,,,,
324,,,,,,,3828000.0,3822000.0
325,,,,,,,,
326,,,,,,,,
327,,,,,,,,
328,,,,,,,,
329,,,,,,,,
330,,,,,,,,
331,,,,,,,,
332,,,,,,,,
333,,,,,,,-13526000.0,79000.0
334,,,,,,,,
335,,,,7538000.0,3767000.0,3146000.0,625000.0,500000.0
336,,,,,,,,
337,,,,,,,,
338,,,,,,,611000.0,407000.0
339,,,,,,,,
340,,,,,,,,
341,,,,,,,89000.0,67000.0
342,,,,,,,,
343,,,,,,,,
344,,,,,,,,
345,,,,,,,,
346,,,,,,,1048000.0,695000.0
347,,,,,,,,
348,,,,,,,,
349,,,,,,,,
350,,,,,,,,
351,,,,,,,,
352,,,,,,,,
353,,,,774000.0,,,774000.0,453000.0
354,,,,1189000.0,,,1189000.0,1079000.0
355,,,,,,,,-5000.0
356,,,,,,,,
357,,,,,,,4317000.0,3454000.0
358,,,,,,,,
359,,,,,,,,
360,,,,,,,,
361,,,,,,,,
362,,,,,,,,
363,,,,,,,,
364,,,,,,,,
365,,,,,,,6935000.0,7120000.0
366,,,,,,,,
367,,,,,,,,
368,,,,,,,,
369,,,,,,,,
370,,,,,,,,
371,,,,,,,3000.0,1000.0
372,,,,,,,,
373,,,,,,,,
374,,,,,,,,
375,,,,,,,,
376,,,,,,,,
377,,,,,,,,-16000.0
378,,,,,,,,
379,,,,,,,,
380,,,,,,,,
381,,,,,,,,
382,,,,,,,,
383,,,,,,,,
384,,,,,,,2162000.0,1560000.0
385,,,,,,,,
386,,,,,,,,
387,,,,,,,,
388,,,,,,,,
389,,,,,,,3000.0,54000.0
390,,,,,,,,
391,,,,,,,,
392,,,,,,,,
393,,,,,,,,
394,,,,143000.0,,21000.0,122000.0,3000.0
395,,,,,,,,
396,,,,,,,,
397,,,,,,,,
398,,,,,,,,
399,,,,,,,,
400,,,,,,,,
401,,,,,,,,
402,,,,,,,,
403,,,,,,,,
404,,,,,,,,
405,,,,,,,,
406,,,,,,,,
407,,,,,,,,
408,,,,,,,,
409,,,,,,,268000.0,118000.0
410,,,,,,,76000.0,43000.0
411,,,,,,,,
412,,,,,,,,
413,,,,,,,,
414,,,,,,,,
415,,,,,,,,
416,,,,,,,,
417,,,,,,,,
418,,,,,,,,
419,,,,,,,,
420,,,,,,,,
421,,,,139000.0,,,139000.0,111000.0
422,,,,,,,,
423,,,,,,,,
424,,,,,,,,
425,,,,10986000.0,,8072000.0,2914000.0,2391000.0
426,,,,,,,,
427,,,,,,,,
428,,,,,,,,
429,,,,,,,,
430,,,,,,,,
431,,,,,,,620000.0,527000.0
432,,,,,,,,
433,,,,,,,,
434,,,,,,,,
435,,,,,,,715000.0,715000.0
436,,,,,,,,
437,,,,,,,,
438,,,,,,,,
439,,,,,,,,
440,,,,,,,,
441,,,,,,,,
442,,,,,,,,
443,,,,,,,,
444,,,,,,,,
445,,,,,,,,
446,,,,,,,,
447,,,,,,,,
448,,,,,,,,
449,,,,,,,,
450,,,,,,,,
451,,,,,,,,
452,,,,,,,,
453,,,,,,,,
454,,,,,,,,
455,,,,,,,,
456,,,,,,,,
457,,,,,,,,
458,,,,,,,,
459,,,,,,,662000.0,345000.0
460,,,,,,,23000.0,13000.0
461,,,,,,,168000.0,132000.0
462,,,,,,,,
463,,,,,,,,
464,,,,,,,,
465,,,,,,,10000.0,2000.0
466,,,,,,,,
467,,,,,,,,
468,,,,,,,,
469,,,,,,,292000.0,195000.0
470,,,,,,,,
471,,,,,,,,
472,,,,,,,,
473,,,,,,,,
474,,,,2022000.0,,,2022000.0,1822000.0
475,,,,,,,,
476,,,,,,,609000.0,209000.0
477,,,,,,,,
478,,,,,,,,
479,,,,2228000.0,,2788000.0,-560000.0,445000.0
480,,,,,,,,
481,,,,,,,,
482,,,,,,,,
483,,,,,,,,
484,,,,,,,2011000.0,1517000.0
485,,,,,,,,
486,,,,,,,,
487,,,,,,,,
488,,,,,,,-1326000.0,-1345000.0
489,,,,,,,,
490,,,,,,,,
491,,,,,,,,
492,,,,,,,,
493,,,,,,,,
494,,,,,,,,
495,,,,,,,,
496,,,,3002000.0,,1923000.0,1079000.0,692000.0
497,,,,,,,,
498,,,,,,,315000.0,193000.0
499,,,,,,,,
500,,,,,,,,
501,,,,,,,,
502,,,,,,,,
503,,,,,,,,
504,,,,,,,,
505,,,,,,,,
506,,,,,,,,
507,,,,,,,,
508,,,,58000.0,,,58000.0,-26000.0
509,,,,,,,,
510,,,,,,,,
511,,,,,,,,
512,,,,-88235000.0,,,-88235000.0,9000.0
513,,,,,,,,
514,,,,,,,,
515,,,,,,,190000.0,126000.0
516,,,,,,,,
517,,,,,,,,
518,,,,,,,,
519,,,,,,,,
520,,,,,,,,
521,,,,,,,,
522,,,,1553000.0,,24000.0,1529000.0,549000.0
523,,,,,,,,
524,,,,,,,,
525,,,,,,,,
526,,,,,,,,
527,,,,,,,,
528,,,,,,,,
529,,,,,,,5083000.0,3663000.0
530,,,,,,,159000.0,-46000.0
531,,,,,,,,
532,,,,,,,,
533,,,,,,,,
