,Коэффициент текущей ликвидности,Коэффициент быстрой ликвидности,Коэффициент абсолютной ликвидности
422,,,
423,,,
424,,,
425,1.3635,1.3488,0.0819
426,,,
427,,,
428,,,
429,,,
430,,,
431,1.0941,0.8541,0.0308
432,,,
433,,,
434,,,
435,1.0439,1.0175,1.0175
436,,,
437,,,
438,,,
439,,,
440,,,
441,,,
442,,,
443,,,
444,,,
445,,,
446,,,
447,,,
448,,,
449,,,
450,,,
451,,,
452,,,
453,,,
454,,,
455,,,
456,,,
457,,,
458,,,
459,0.9924,0.8142,0.0218
460,0.9786,0.93,0.0023
461,1.418,1.418,0.1967
462,,,
463,,,
464,,,
465,1.1905,1.1905,0.6032
466,,,
467,,,
468,,,
469,0.7946,0.153,0.0014
470,,,
471,,,
472,,,
473,1.3214,1.2353,0.0004
474,12.4401,4.6861,0.2071
475,,,
476,1.2774,0.6934,0.0055
477,,,
478,,,
479,1.0967,1.0236,0.2538
480,,,
481,,,
482,,,
483,,,
484,1.5608,0.8482,0.0152
485,,,
486,,,
487,,,
488,10.7917,10.7917,
489,,,
490,,,
491,,,
492,,,
493,,,
494,,,
495,,,
496,1.0396,0.9419,0.5044
497,,,
498,,,
499,,,
500,,,
501,,,
502,,,
503,,,
504,,,
505,,,
506,,,
507,,,
508,1.0401,1.0317,0.4391
509,,,
510,,,
511,,,
512,11.3136,11.2612,0.0001
513,,,
514,,,
515,0.9885,0.9714,0.0081
516,,,
517,,,
518,,,
519,,,
520,,,
521,1.0714,0.3571,
522,1.0228,0.9432,0.0138
523,,,
524,,,
525,,,
526,,,
527,,,
528,,,
529,1.2846,0.7095,0.0145
530,0.9588,0.4058,0.0737
531,,,
532,,,
533,,,
534,,,
535,1.0009,0.0004,0.0003
536,1.7005,0.5087,0.0615
537,,,
538,,,
539,,,
540,,,
541,193.5616,93.2055,13.1507
542,,,
543,0.6089,0.6089,0.1139
544,0.9973,0.6513,0.0057
545,0.0706,0.0706,0.0438
546,177.3333,177.3333,
547,3.6029,3.5882,1.5735
548,,,
549,,,
550,,,
551,0.8958,0.572,0.1526
552,,,
553,,,
554,0.261,0.1212,0.0042
555,,,
556,4.2239,2.5837,0.0033
557,,,
558,,,
559,,,
560,0.8727,0.8719,0.0454
561,,,
562,,,
563,,,
564,1.0184,0.4701,0.0025
565,,,
566,,,
567,,,
568,,,
569,,,
570,,,
571,,,
572,1.2952,1.1425,0.3863
573,1.0685,1.033,0.0003
574,,,
575,,,
576,,,
577,,,
578,,,
579,11.6667,11.6667,4.0769
580,,,
581,,,
582,,,
583,,,
584,1.013,1.0033,0.0016
585,,,
586,,,
587,,,
588,1.2281,1.0939,0.1976
589,,,
590,,,
591,,,
592,,,
593,,,
594,,,
595,1.8444,1.3289,
596,1.0384,0.8483,0.0088
597,,,
598,,,
599,,,
600,,,
601,,,
602,,,
603,,,
604,,,
605,1.0026,0.9919,
606,,,
607,2.6765,2.6765,0.8725
608,1.0039,0.337,0.1833
609,,,
610,,,
611,,,
612,,,
613,,,
614,1.0632,0.9236,0.3651
615,,,
616,,,
617,,,
618,,,
619,,,
620,,,
621,1.3467,1.2162,0.1142
622,,,
623,,,
624,,,
625,,,
626,1.0258,0.9073,0.0023
627,,,
628,,,
629,,,
630,1.0433,0.9007,0.0475
631,,,
632,,,
633,3.9811,3.7645,0.7021
634,,,
635,,,
636,0.7872,0.7872,0.0001
637,,,
638,0.0002,0.0002,0.0002
639,,,
640,105.3333,105.3333,
641,,,
642,0.5501,0.4736,0.0001
643,,,
644,,,
645,,,
646,,,
647,,,
648,,,
649,,,
650,,,
651,1.0174,0.9635,0.0053
652,,,
653,,,
654,0.2909,0.2909,0.1364
655,,,
656,,,
657,2.2688,2.2206,0.0057
658,,,
659,,,
660,,,
661,,,
662,,,
663,,,
664,,,
665,,,
666,,,
667,10.1204,10.1204,0.0865
668,,,
669,0.9977,0.404,0.0029
670,,,
671,,,
672,,,
673,,,
674,,,
675,,,
676,,,
677,1.0108,0.4626,0.0316
678,,,
679,,,
680,,,
681,,,
682,,,
683,0.9594,0.291,0.0269
684,,,
685,,,
686,,,
687,,,
688,,,
689,1.7761,1.7017,1.0058
690,0.8986,0.0397,0.0168
691,,,
692,,,
693,,,
694,,,
695,,,
696,7.5144,7.5144,0.2292
697,,,
698,0.9911,0.7772,0.1284
699,,,
700,1.0814,1.0808,0.083
701,,,
702,,,
703,,,
704,,,
705,,,
706,,,
707,,,
708,,,
709,,,
710,,,
711,,,
712,,,
713,,,
714,,,
715,,,
716,,,
717,,,
718,,,
719,,,
720,,,
721,,,
722,1.4987,1.4408,0.2317
723,,,
724,,,
725,1.0928,0.505,0.0038
726,1.0468,1.0419,
727,,,
728,,,
729,,,
730,,,
731,,,
732,,,
733,,,
734,1.2774,1.0899,0.0679
735,,,
736,1.0497,1.0486,0.0499
737,,,
738,,,
739,,,
740,,,
741,,,
742,,,
743,,,
744,,,
745,,,
746,,,
747,,,
748,1.1397,0.716,0.0056
749,0.0669,0.0469,
750,,,
751,,,
752,,,
753,,,
754,,,
755,,,
756,,,
757,0.9387,0.7064,0.0003
758,,,
759,,,
760,26.472,26.48,1.152
761,,,
762,3.0305,0.9136,0.0258
763,,,
764,,,
765,,,
766,1.9091,0.9364,0.7727
767,,,
768,,,
769,,,
770,,,
771,,,
772,,,
773,,,
774,,,
775,,,
776,,,
777,,,
778,,,
779,,,
780,,,
781,,,
782,,,
783,,,
784,,,
785,,,
786,,,
787,,,
788,,,
789,,,
790,,,
791,,,
792,,,
793,,,
794,,,
795,2.8244,1.8092,1.1756
796,2.0984,1.3043,0.4125
797,,,
798,,,
799,,,
800,,,
801,,,
802,1.0021,0.6076,0.0004
803,0.8304,0.8304,0.0121
804,,,
805,,,
806,4.2439,3.9252,3.3477
807,,,
808,,,
809,,,
810,0.9803,0.9234,0.1552
811,0.4873,0.2594,
812,,,
813,,,
814,14.3824,14.3824,0.2647
815,,,
816,,,
817,,,
818,0.9861,0.0313,0.0235
819,,,
820,,,
821,,,
822,,,
823,,,
824,,,
825,621.25,101.75,0.875
826,,,
827,,,
828,,,
829,,,
830,,,
831,,,
832,,,
833,0.1429,,-1.4286
834,,,
835,,,
836,,,
837,,,
838,,,
839,,,
840,,,
841,,,
842,,,
843,,,
844,,,
845,,,
846,,,
847,,,
848,,,
849,,,
850,,,
851,,,
852,,,
853,25.6818,25.6818,12.1818
854,,,
855,,,
856,,,
857,,,
858,,,
859,1.1674,1.1674,0.9548
860,,,
861,,,
862,,,
863,1.0129,0.7899,0.0945
864,4.1025,3.4418,1.4512
865,,,
866,,,
867,,,
868,,,
869,,,
870,5.2224,4.9824,3.3831
871,,,
872,,,
873,3.235,3.235,2.9109
874,,,
875,,,
876,,,
877,,,
878,,,
879,,,
880,2.0251,1.221,0.0339
881,1.2395,1.0422,0.0173
882,1.0028,0.9688,0.0123
883,,,
884,,,
885,,,
886,0.8613,0.6314,
887,0.9334,0.6418,0.0244
888,,,
889,,,
890,1.0107,0.9447,0.0005
