,Коэффициент текущей ликвидности,Коэффициент быстрой ликвидности,Коэффициент абсолютной ликвидности
53018,,,
53019,,,
53020,,,
53021,17.4345,16.4345,7.1931
53022,,,
53023,,,
53024,,,
53025,,,
53026,,,
53027,,,
53028,,,
53029,,,
53030,,,
53031,,,
53032,,,
53033,,,
53034,,,
53035,,,
53036,1.0737,0.3213,0.0552
53037,1.0697,1.0697,1.0692
53038,,,
53039,,,
53040,,,
53041,,,
53042,,,
53043,,,
53044,,,
53045,,,
53046,0.9715,0.5929,0.0053
53047,,,
53048,,,
53049,,,
53050,,,
53051,5.7576,5.7576,5.7576
53052,0.9656,0.9656,0.0007
53053,,,
53054,2.3226,2.3226,0.2742
53055,,,
53056,,,
53057,,,
53058,1.21,1.21,1.1368
53059,,,
53060,,,
53061,,,
53062,1.0924,0.9849,0.04
53063,,,
53064,,,
53065,,,
53066,,,
53067,,,
53068,,,
53069,,,
53070,1.9363,1.76,0.0353
53071,0.4889,0.4889,
53072,1.054,0.3617,
53073,0.5932,0.5926,0.0112
53074,,,
53075,1.165,1.0628,0.4878
53076,,,
53077,2.081,2.081,
53078,,,
53079,,,
53080,5.9352,5.9329,0.0972
53081,,,
53082,,,
53083,1.0978,1.0978,
53084,,,
53085,,,
53086,,,
53087,,,
53088,,,
53089,,,
53090,,,
53091,,,
53092,,,
53093,,,
53094,,,
53095,,,
53096,,,
53097,,,
53098,1.5978,1.4441,0.0704
53099,,,
53100,,,
53101,1.0803,1.0466,0.0351
53102,,,
53103,10.8359,10.2702,1.3106
53104,,,
53105,,,
53106,0.009,0.009,
53107,,,
53108,,,
53109,,,
53110,,,
53111,0.968,0.968,0.004
53112,,,
53113,,,
53114,2.1584,1.4785,0.8299
53115,2.2097,2.2097,0.6292
53116,,,
53117,,,
53118,5.2314,5.0232,0.1989
53119,,,
53120,1.0792,0.9487,0.0338
53121,,,
53122,1.3159,1.3159,0.1923
53123,,,
53124,2.7016,1.9816,1.6843
53125,,,
53126,,,
53127,,,
53128,,,
53129,0.9202,0.9196,0.0203
53130,43.4624,43.4624,0.5699
53131,,,
53132,18.105,18.105,12.2486
53133,,,
53134,,,
53135,,,
53136,,,
53137,,,
53138,,,
53139,,,
53140,1.1655,1.1655,0.0016
53141,1.383,1.3817,0.0001
53142,,,
53143,,,
53144,1.0354,0.2707,0.0742
53145,,,
53146,,,
53147,,,
53148,,,
53149,1.2647,0.733,0.0218
53150,,,
53151,,,
53152,,,
53153,,,
53154,,,
53155,,,
53156,,,
53157,,,
53158,,,
53159,,,
53160,,,
53161,,,
53162,,,
53163,,,
53164,,,
53165,1.3732,1.3716,0.0744
53166,,,
53167,,,
53168,,,
53169,,,
53170,,,
53171,,,
53172,,,
53173,,,
53174,,,
53175,,,
53176,0.9898,0.6567,0.2004
53177,16.5217,7.6087,6.8696
53178,,,
53179,,,
53180,1.2561,0.0679,0.0366
53181,,,
53182,,,
53183,,,
53184,,,
53185,,,
53186,,,
53187,3.158,3.1604,1.5332
53188,,,
53189,,,
53190,,,
53191,,,
53192,,,
53193,,,
53194,,,
53195,0.6,0.6,0.3
53196,,,
53197,,,
53198,,,
53199,1.1199,0.7071,0.0029
53200,,,
53201,,,
53202,,,
53203,0.9993,0.5892,0.1256
53204,0.944,0.5713,0.0124
53205,1.663,1.663,1.1413
53206,,,
53207,,,
53208,,,
53209,,,
53210,,,
53211,,,
53212,1.1236,1.1236,0.0674
53213,,,
53214,,,
53215,1.0296,1.0296,0.6369
53216,,,
53217,0.9595,0.9444,0.2034
53218,2.4562,1.8407,1.7057
53219,790.7246,258.3478,122.2754
53220,,,
53221,2.5029,2.5029,1.4102
53222,,,
53223,,,
53224,,,
53225,,,
53226,,,
53227,7.3611,3.5345,1.8063
53228,,,
53229,,,
53230,0.6527,0.4656,0.0137
53231,,,
53232,,,
53233,,,
53234,,,
53235,,,
53236,,,
53237,,,
53238,1.2965,0.0924,0.0023
53239,1.9981,1.6272,1.3393
53240,,,
53241,,,
53242,,,
53243,,,
53244,,,
53245,,,
53246,,,
53247,,,
53248,,,
53249,,,
53250,,,
53251,,,
53252,,,
53253,1.0105,0.4782,0.0849
53254,,,
53255,,,
53256,,,
53257,,,
53258,,,
53259,,,
53260,,,
53261,,,
53262,,,
53263,,,
53264,,,
53265,,,
53266,1.0917,0.7169,0.0955
53267,,,
53268,,,
53269,7.5571,4.5687,2.6308
53270,,,
53271,,,
53272,,,
53273,5.5284,4.118,3.266
53274,,,
53275,,,
53276,,,
53277,,,
53278,1.9926,0.8127,0.0119
53279,,,
53280,1.0769,0.0227,0.0027
53281,1.141,0.8872,0.0979
53282,,,
53283,,,
53284,90.6977,89.6279,0.2093
53285,,,
53286,1.0773,0.8628,0.047
53287,,,
53288,0.8121,0.0427,
53289,,,
53290,,,
53291,,,
53292,,,
53293,,,
53294,,,
53295,,,
53296,,,
53297,,,
53298,,,
53299,,,
53300,,,
53301,,,
53302,,,
53303,,,
53304,0.7703,0.6541,0.0659
53305,,,
53306,0.3192,0.3192,0.3111
53307,,,
53308,,,
53309,,,
53310,,,
53311,,,
53312,1.0257,0.2414,0.0118
53313,1.4541,0.9078,0.1055
53314,,,
53315,,,
53316,,,
53317,,,
53318,,,
53319,7455.6667,1713.1667,10.3333
53320,,,
53321,,,
53322,,,
53323,,,
53324,,,
53325,,,
53326,2.2228,0.9549,0.8418
53327,0.1887,0.1819,0.0088
53328,,,
53329,1.0384,0.2352,0.2139
53330,1.7419,0.9018,0.1956
53331,,,
53332,,,
53333,,,
53334,,,
53335,,,
53336,1.1499,0.8848,0.0198
53337,,,
53338,1.6204,1.6104,0.0727
53339,0.9582,0.7429,0.1078
53340,,,
53341,,,
53342,,,
53343,1.0486,0.6983,0.0454
53344,,,
53345,2.759,1.2581,0.0288
53346,,,
53347,,,
53348,2.8285,0.7975,0.14
53349,0.6681,0.5946,0.0002
53350,1.2512,0.5657,0.1414
53351,,,
53352,1.2222,1.2222,1.2222
53353,,,
53354,,,
53355,,,
53356,2.3333,2.0,
53357,,,
53358,,,
53359,,,
53360,,,
53361,,,
53362,,,
53363,1.9466,1.3779,1.0295
53364,,,
53365,0.9853,0.253,0.0547
53366,,,
53367,,,
53368,,,
53369,,,
53370,,,
53371,,,
53372,,,
53373,,,
53374,40.2028,40.2028,0.429
53375,1.0226,0.5141,0.4681
53376,,,
53377,0.9816,0.9816,0.3934
53378,,,
53379,0.9623,0.9457,0.1608
53380,,,
53381,,,
53382,,,
53383,,,
53384,,,
53385,,,
53386,,,
53387,1.4037,1.4037,
53388,,,
53389,,,
53390,1.4175,1.0881,0.3886
53391,,,
53392,,,
53393,,,
53394,,,
53395,,,
53396,0.2119,0.1098,0.0002
53397,,,
53398,1.1634,0.5833,0.1392
53399,,,
53400,0.1889,0.1889,0.0013
53401,,,
53402,,,
53403,,,
53404,,,
53405,,,
53406,,,
53407,,,
53408,,,
53409,0.0208,0.0208,
53410,,,
53411,,,
53412,,,
53413,,,
53414,,,
53415,,,
53416,3.978,3.978,0.9339
53417,,,
53418,,,
53419,,,
53420,,,
53421,,,
53422,,,
53423,,,
53424,,,
53425,,,
53426,1.4414,0.6287,0.279
53427,,,
53428,,,
53429,,,
53430,2.3281,2.3281,
53431,10.2353,10.2166,
53432,1.057,1.057,0.0209
53433,1.0359,1.0359,0.0112
53434,,,
53435,,,
53436,,,
53437,,,
53438,1.6869,1.25,0.6892
53439,,,
53440,,,
53441,53.9348,53.9348,26.0
53442,,,
53443,,,
53444,0.7809,0.7809,0.0008
53445,5.6866,5.6866,0.7884
53446,,,
53447,,,
53448,1.0427,1.0138,0.6359
53449,,,
53450,,,
53451,,,
53452,,,
53453,,,
53454,,,
53455,,,
53456,,,
53457,0.9218,0.688,
53458,,,
53459,0.3238,0.32,0.1745
53460,,,
53461,,,
53462,,,
53463,,,
53464,,,
53465,,,
53466,,,
53467,,,
53468,,,
53469,,,
53470,12.6,12.6,0.1
53471,0.989,0.989,0.314
53472,,,
53473,,,
53474,,,
53475,,,
53476,,,
53477,,,
53478,,,
53479,,,
53480,,,
53481,,,
53482,,,
53483,,,
53484,4.4382,4.4382,1.6676
53485,0.0036,0.0036,
53486,,,
53487,,,
53488,1.0157,1.0157,
53489,,,
53490,,,
53491,,,
53492,1.9094,0.338,0.0432
53493,,,
53494,,,
53495,4.4901,4.4901,4.1447
53496,4.5627,4.5627,3.6708
53497,,,
53498,,,
53499,995.1579,995.1579,958.0263
53500,,,
53501,,,
53502,,,
53503,,,
53504,,,
53505,,,
53506,,,
53507,12.9931,3.7172,3.1448
53508,,,
53509,,,
53510,6.7379,6.2949,0.0231
53511,1.2685,1.2379,0.0706
53512,0.0474,0.0399,0.005
53513,,,
53514,,,
53515,3.4569,3.4257,2.8299
53516,,,
53517,54.3333,54.3333,53.6667
53518,,,
53519,,,
53520,,,
53521,,,
53522,10.5484,0.0484,0.0161
53523,,,
53524,,,
53525,,,
53526,,,
53527,0.0275,0.0025,0.0025
53528,1.0748,1.0748,0.0006
53529,3.1854,3.1446,1.4787
53530,,,
53531,,,
53532,1.6284,1.1498,0.0282
53533,,,
53534,57.6707,56.1184,23.0054
53535,0.4328,0.4328,
53536,62.0,62.0,
53537,,,
53538,,,
53539,1.205,1.06,0.5516
53540,18.6923,18.6923,
53541,1.9913,1.4122,0.0271
53542,,,
53543,,,
53544,,,
53545,,,
53546,,,
53547,,,
53548,1.1493,1.1493,1.1252
53549,,,
53550,,,
53551,,,
53552,,,
53553,,,
53554,0.1429,0.1429,
53555,,,
53556,,,
53557,0.9498,0.9498,0.0265
53558,,,
53559,,,
53560,17.4684,17.4515,3.9782
53561,1.5875,1.5875,0.0886
53562,,,
53563,0.3831,0.0026,
53564,,,
53565,0.2143,0.2143,0.2143
53566,,,
53567,1.3139,0.7166,0.0281
53568,,,
53569,,,
53570,,,
53571,,,
53572,,,
53573,,,
53574,,,
53575,,,
53576,,,
53577,,,
53578,,,
53579,,,
53580,,,
53581,,,
53582,0.0125,0.0125,0.0125
53583,,,
53584,,,
53585,,,
53586,,,
53587,,,
53588,,,
53589,,,
53590,,,
53591,,,
53592,,,
53593,,,
53594,,,
53595,,,
53596,,,
53597,9.6081,9.5439,0.8771
53598,,,
53599,1.2471,1.2471,1.0572
53600,,,
53601,,,
53602,,,
53603,,,
53604,,,
53605,1.9534,1.9016,
53606,1.7018,1.0876,0.8461
53607,,,
53608,,,
53609,,,
53610,,,
53611,0.5902,0.4033,0.0015
53612,8.9063,8.9063,4.8791
53613,0.4541,0.4541,0.4541
53614,,,
53615,,,
53616,,,
53617,,,
53618,,,
53619,,,
53620,,,
53621,,,
53622,,,
53623,,,
53624,,,
53625,,,
53626,,,
53627,,,
53628,,,
53629,,,
53630,,,
53631,,,
53632,,,
53633,,,
53634,1.0042,0.7737,0.0251
53635,,,
53636,1.8696,0.8685,0.4399
53637,,,
53638,2.1643,1.3912,0.9426
53639,,,
53640,,,
53641,,,
53642,,,
53643,,,
53644,7.6488,7.6488,7.4006
53645,,,
53646,,,
53647,,,
53648,,,
53649,,,
53650,,,
53651,,,
53652,,,
53653,,,
53654,,,
53655,,,
53656,,,
53657,,,
53658,,,
53659,,,
53660,,,
53661,1.0,1.0,
53662,,,
53663,0.5801,0.5801,
53664,,,
53665,,,
53666,,,
53667,,,
53668,,,
53669,,,
53670,,,
53671,,,
53672,2.7905,2.6571,2.3143
53673,19.7007,19.7007,2.1727
53674,0.0551,0.0551,0.0037
53675,,,
53676,5.7632,5.5359,4.3662
53677,,,
53678,2.6338,2.5525,
53679,,,
53680,,,
53681,,,
53682,,,
53683,13.4706,13.4706,0.4706
53684,,,
53685,,,
53686,,,
53687,,,
53688,,,
53689,,,
53690,1.8056,1.6128,0.3027
53691,,,
53692,,,
53693,0.8723,0.6176,0.1657
53694,,,
53695,9.8571,9.8571,3.4034
53696,,,
53697,,,
53698,0.2145,0.2145,0.2145
53699,,,
53700,43.5877,43.5877,5.4908
53701,0.4445,0.4433,0.0078
53702,,,
53703,78.2206,77.8382,15.7353
53704,,,
53705,,,
53706,11.0,11.0,1.0
53707,,,
53708,,,
53709,,,
53710,115.9111,115.9111,5.5556
53711,1.1851,1.1851,
53712,,,
53713,,,
53714,1.6419,0.9629,
53715,,,
53716,5.8433,5.654,0.1403
53717,,,
53718,,,
53719,2.4153,2.4153,1.4019
53720,,,
53721,,,
53722,1.0,1.0,1.0
53723,,,
53724,,,
53725,,,
53726,,,
53727,,,
53728,,,
53729,84.5,78.5,25.0
53730,,,
53731,,,
53732,5.2407,4.2299,0.0025
53733,93.4409,93.4409,93.4409
53734,,,
53735,,,
53736,210.6333,191.4667,8.0333
53737,,,
53738,,,
53739,,,
53740,,,
53741,,,
53742,,,
53743,,,
53744,,,
53745,0.0362,0.0362,0.0182
53746,,,
53747,1.8827,1.2648,0.0045
53748,,,
53749,,,
53750,,,
53751,,,
53752,123.375,123.375,57.5
53753,,,
53754,,,
53755,1.62,1.493,0.6629
53756,,,
53757,,,
53758,,,
53759,6.2753,6.2753,2.915
53760,,,
53761,,,
53762,,,
53763,1.7672,1.7672,1.5146
53764,,,
53765,,,
53766,,,
53767,,,
53768,,,
53769,,,
53770,0.5791,0.5791,0.0001
53771,2.4575,2.4575,0.2602
53772,,,
53773,,,
53774,,,
53775,,,
53776,,,
53777,,,
53778,,,
53779,,,
53780,0.8577,0.8577,0.2957
53781,1.8602,1.8595,0.3516
53782,169.84,150.84,19.4
53783,5.9408,4.9132,2.8236
53784,1.0154,0.9844,0.2152
53785,,,
53786,20.1951,19.9512,
53787,1.2188,1.2188,0.7328
53788,,,
53789,,,
53790,,,
53791,,,
53792,,,
53793,0.0113,0.0113,0.0013
53794,,,
53795,1.5291,0.2108,0.0135
53796,30.7288,3.5537,0.3107
53797,,,
53798,,,
53799,4.4329,1.739,0.9578
53800,,,
53801,,,
53802,3.0273,3.0273,0.3091
53803,,,
53804,3.2982,3.2982,1.1328
53805,,,
53806,,,
53807,,,
53808,,,
53809,25.0,7.0,1.0
53810,,,
53811,1.4,1.4,
53812,,,
53813,0.8536,0.3939,0.0029
53814,,,
53815,,,
53816,,,
53817,,,
53818,2.3064,1.56,0.5862
53819,,,
53820,,,
53821,,,
53822,,,
53823,,,
53824,,,
53825,,,
53826,,,
53827,,,
53828,,,
53829,,,
53830,2.6154,2.6049,0.9006
53831,,,
53832,,,
53833,,,
53834,,,
53835,,,
53836,,,
53837,,,
53838,4.8869,4.3773,0.0145
53839,1.0456,1.0187,0.1706
53840,1.3234,0.3271,0.2714
53841,,,
53842,,,
53843,,,
53844,,,
53845,,,
53846,,,
53847,,,
53848,,,
53849,,,
53850,0.3117,0.3117,0.0405
53851,,,
53852,,,
53853,,,
53854,,,
53855,1.4037,1.3303,1.3119
53856,,,
53857,,,
53858,,,
53859,0.0465,0.0465,0.0225
53860,,,
53861,0.4813,0.4065,0.4065
53862,,,
53863,,,
53864,,,
53865,,,
53866,,,
53867,,,
53868,,,
53869,,,
53870,,,
53871,,,
53872,,,
53873,,,
53874,,,
53875,,,
53876,,,
53877,,,
53878,22.25,22.25,1.2
53879,,,
53880,3.6364,3.6364,0.4545
53881,,,
53882,,,
53883,,,
53884,2.1338,0.672,0.1456
53885,1.0464,1.0409,0.4396
53886,,,
53887,,,
53888,,,
53889,,,
53890,,,
53891,27.3333,27.3333,
53892,,,
53893,,,
53894,,,
53895,1.6235,1.6235,1.6078
53896,,,
53897,,,
53898,,,
53899,,,
53900,,,
53901,,,
53902,,,
53903,,,
53904,,,
53905,,,
53906,0.0116,0.0015,0.0015
53907,,,
53908,,,
53909,0.0027,0.0027,0.0027
53910,1.1993,1.1993,0.5629
53911,,,
53912,,,
53913,,,
53914,,,
53915,,,
53916,,,
53917,,,
53918,0.9279,0.9037,0.8412
53919,,,
53920,,,
53921,,,
53922,0.2041,0.18,0.1686
53923,,,
53924,,,
53925,,,
53926,,,
53927,,,
53928,,,
53929,,,
53930,0.9666,0.9666,0.07
53931,,,
53932,,,
53933,2.4,2.4,2.4
53934,,,
53935,,,
53936,1.997,1.2609,0.1085
53937,,,
53938,,,
53939,,,
53940,9.0,9.0,7.75
53941,,,
53942,,,
53943,2.0706,2.0706,0.0588
53944,,,
53945,,,
53946,461.5,461.5,
53947,,,
53948,,,
53949,,,
53950,,,
53951,,,
53952,,,
53953,,,
53954,,,
53955,,,
53956,,,
53957,,,
53958,,,
53959,,,
53960,,,
53961,1.5655,1.5655,1.4552
53962,1.4043,1.2456,0.0481
53963,6.3768,5.6957,4.5362
53964,,,
53965,,,
53966,,,
53967,,,
53968,1.0676,0.4366,0.1002
53969,,,
53970,,,
53971,,,
53972,,,
53973,,,
53974,,,
53975,,,
53976,,,
53977,,,
53978,,,
53979,,,
53980,,,
53981,,,
53982,,,
53983,,,
53984,,,
53985,,,
53986,,,
53987,,,
53988,,,
53989,,,
53990,,,
53991,40.0,40.0,27.75
53992,0.115,0.115,0.0007
53993,242.9818,221.7818,13.9273
53994,9.9647,9.9647,8.998
53995,,,
53996,,,
53997,,,
53998,,,
53999,,,
54000,,,
54001,,,
54002,,,
54003,0.115,0.0015,0.0015
54004,92.7672,92.7672,0.5431
54005,,,
54006,,,
54007,,,
54008,,,
54009,,,
54010,,,
54011,,,
54012,,,
54013,1.0799,1.0612,0.8737
54014,,,
54015,,,
54016,,,
54017,,,
54018,,,
54019,,,
54020,,,
54021,,,
54022,,,
54023,,,
54024,,,
54025,,,
54026,,,
54027,,,
54028,,,
54029,,,
54030,,,
54031,,,
54032,,,
54033,,,
54034,,,
54035,,,
54036,,,
54037,,,
54038,1.2991,1.0928,0.0095
54039,,,
54040,88.8272,88.8272,0.4154
54041,,,
54042,,,
54043,,,
54044,0.001,0.001,0.001
54045,,,
54046,1.149,1.1391,0.0138
54047,15.115,15.115,6.708
54048,,,
54049,,,
54050,11.5223,8.2009,5.6518
54051,,,
54052,,,
54053,15.1857,15.1714,12.1429
54054,,,
54055,,,
54056,,,
54057,,,
54058,4.3094,4.3094,3.6221
54059,0.2333,0.2333,0.1784
54060,,,
54061,,,
54062,,,
54063,,,
54064,,,
54065,,,
54066,,,
54067,,,
54068,,,
54069,,,
54070,1.8601,1.8601,0.1855
54071,,,
54072,,,
54073,0.4164,0.2903,0.0005
54074,,,
54075,11.7867,5.9091,0.0077
54076,,,
54077,,,
54078,8.2511,5.1045,0.1655
54079,,,
54080,11.0,11.0,
54081,,,
54082,,,
54083,,,
54084,,,
54085,,,
54086,,,
54087,,,
54088,,,
54089,,,
54090,3.7691,3.0909,0.0424
54091,1.2296,0.8103,0.3185
54092,,,
54093,,,
54094,1.0095,1.0095,1.0076
54095,,,
54096,,,
54097,0.0411,0.0411,0.0411
54098,,,
54099,,,
54100,,,
54101,,,
54102,,,
54103,,,
54104,,,
54105,3.5333,3.5333,3.5333
54106,,,
54107,,,
54108,,,
54109,,,
54110,,,
54111,,,
54112,,,
54113,,,
54114,,,
54115,,,
54116,,,
54117,,,
54118,,,
54119,,,
54120,,,
54121,,,
54122,,,
54123,,,
54124,,,
54125,,,
54126,0.0329,0.0329,0.0329
54127,,,
54128,2.5933,2.59,0.2733
54129,,,
54130,,,
54131,,,
54132,,,
54133,,,
54134,,,
54135,,,
54136,,,
54137,,,
54138,,,
54139,,,
54140,0.3397,0.1923,0.1923
54141,,,
54142,,,
54143,,,
54144,0.5285,0.5285,0.019
54145,,,
54146,,,
54147,0.4475,0.4344,0.0224
54148,,,
54149,1.8333,1.8333,1.8333
54150,,,
54151,,,
54152,,,
54153,39.679,39.679,39.6296
54154,,,
54155,,,
54156,,,
54157,1.6429,1.4974,1.4459
54158,,,
54159,,,
54160,,,
54161,,,
54162,7.6792,7.6792,
54163,,,
54164,0.0638,0.0638,0.0319
54165,,,
54166,,,
54167,,,
54168,,,
54169,,,
54170,,,
54171,,,
54172,,,
54173,,,
54174,,,
54175,,,
54176,,,
54177,,,
54178,,,
54179,0.954,0.9015,0.8132
54180,,,
54181,,,
54182,,,
54183,,,
54184,,,
54185,,,
54186,,,
54187,,,
54188,,,
54189,,,
54190,,,
54191,0.15,0.15,
54192,,,
54193,,,
54194,,,
54195,24.3592,22.767,6.9223
54196,,,
54197,,,
54198,,,
54199,,,
54200,0.0349,0.0076,
54201,,,
54202,2.0933,0.7221,0.2135
54203,71.3333,60.3333,0.3333
54204,,,
54205,,,
54206,,,
54207,,,
54208,,,
54209,,,
54210,,,
54211,0.0051,0.0051,0.0005
54212,37.394,37.394,0.25
54213,,,
54214,0.8755,0.0349,0.0226
54215,,,
54216,,,
54217,,,
54218,2.4628,2.4627,0.3529
54219,0.7338,0.7338,0.1263
54220,,,
54221,,,
54222,0.9871,0.9781,0.0186
54223,,,
54224,,,
54225,,,
54226,,,
54227,4.431,4.4304,0.1919
54228,,,
54229,,,
54230,,,
54231,2.982,1.5288,0.777
54232,,,
54233,,,
54234,,,
54235,,,
54236,,,
54237,,,
54238,4.6651,4.6651,4.3181
54239,,,
54240,,,
54241,,,
54242,,,
54243,6.5107,2.2546,1.5021
54244,,,
54245,,,
54246,,,
54247,,,
54248,,,
54249,,,
54250,,,
54251,,,
54252,,,
54253,,,
54254,,,
54255,,,
54256,,,
54257,52.4419,22.2791,19.8837
54258,1.0,1.0,1.0
54259,,,
54260,,,
54261,,,
54262,9.0918,7.0115,5.2887
54263,,,
54264,,,
54265,,,
54266,,,
54267,,,
54268,394.6667,330.3333,303.6667
54269,,,
54270,0.6834,0.6834,0.0067
54271,,,
54272,,,
54273,1.0099,1.0099,0.4968
54274,,,
54275,,,
54276,,,
54277,,,
54278,,,
54279,13.4016,13.3934,0.0574
54280,8.6333,8.6333,0.0333
54281,,,
54282,3.9748,3.9748,3.8045
54283,,,
54284,,,
54285,,,
54286,,,
54287,,,
54288,,,
54289,,,
54290,,,
54291,19.1333,3.6667,3.1333
54292,,,
54293,,,
54294,,,
54295,,,
54296,2.5268,2.3606,1.9375
54297,,,
54298,1.6858,0.8952,0.1463
54299,,,
54300,,,
54301,,,
54302,,,
54303,7.8209,7.8209,0.403
54304,,,
54305,,,
54306,,,
54307,,,
54308,,,
54309,,,
54310,,,
54311,1.1208,1.1208,0.9497
54312,,,
54313,1.211,1.1201,0.0012
54314,0.9029,0.8604,0.3014
54315,,,
54316,,,
54317,,,
54318,,,
54319,,,
54320,,,
54321,4.4024,4.4024,2.7286
54322,,,
54323,,,
54324,,,
54325,,,
54326,,,
54327,,,
54328,,,
54329,,,
54330,,,
54331,,,
54332,1.6164,1.5852,0.5052
54333,39.4667,38.7467,0.0533
54334,,,
54335,,,
54336,,,
54337,,,
54338,,,
54339,,,
54340,,,
54341,,,
54342,,,
54343,,,
54344,,,
54345,,,
54346,,,
54347,,,
54348,,,
54349,,,
54350,,,
54351,,,
54352,,,
54353,8.3895,7.4232,6.5936
54354,2.1735,1.9401,0.0568
54355,,,
54356,,,
54357,,,
54358,,,
54359,,,
54360,,,
54361,,,
54362,,,
54363,,,
54364,,,
54365,,,
54366,,,
54367,,,
54368,,,
54369,,,
54370,,,
54371,,,
54372,,,
54373,,,
54374,1.6132,1.6132,0.3443
54375,2.6207,2.2069,1.069
54376,,,
54377,,,
54378,,,
54379,,,
54380,1.1466,1.0101,0.13
54381,67.0211,67.0211,0.8947
54382,1.1417,1.1417,1.039
54383,1.3645,0.4813,0.3341
54384,,,
54385,0.9049,0.9049,0.0398
54386,,,
54387,,,
54388,,,
54389,,,
54390,,,
54391,,,
54392,,,
54393,0.7021,0.7021,0.1923
54394,,,
54395,,,
54396,,,
54397,,,
54398,2.2165,2.2165,1.6068
54399,,,
54400,,,
54401,1.1872,1.059,0.983
54402,0.43,0.43,0.38
54403,,,
54404,10.2,10.2,8.6667
54405,,,
54406,1.2049,0.7377,0.7318
54407,,,
54408,,,
54409,,,
54410,9.4667,9.4667,9.4667
54411,,,
54412,,,
54413,5.5486,4.0863,0.9436
54414,,,
54415,,,
54416,,,
54417,3.3199,0.0776,0.0266
54418,,,
54419,,,
54420,,,
54421,,,
54422,,,
54423,,,
54424,1.5186,1.0802,0.3725
54425,,,
54426,,,
54427,12.1053,12.1053,
54428,,,
54429,,,
54430,,,
54431,,,
54432,,,
54433,,,
54434,,,
54435,,,
54436,,,
54437,,,
54438,,,
54439,,,
54440,,,
54441,,,
54442,,,
54443,47.9762,47.9762,37.2619
54444,,,
54445,,,
54446,,,
54447,,,
54448,,,
54449,,,
54450,,,
54451,,,
54452,,,
54453,,,
54454,,,
54455,1.0724,0.9601,0.6678
54456,,,
54457,,,
54458,0.8989,0.8989,0.3811
54459,,,
54460,,,
54461,,,
54462,,,
54463,,,
54464,,,
54465,,,
54466,51.125,22.25,5.375
54467,,,
54468,,,
54469,0.9482,0.0277,0.0063
54470,,,
54471,,,
54472,,,
54473,,,
54474,,,
54475,,,
54476,3.0677,3.0677,0.9344
54477,,,
54478,7.4648,7.4648,7.4648
54479,,,
54480,,,
54481,,,
54482,,,
54483,,,
54484,,,
54485,,,
54486,1.5166,0.1902,0.0667
54487,,,
54488,,,
54489,,,
54490,,,
54491,7.1335,6.397,0.2939
54492,0.8197,0.7572,0.0004
54493,,,
54494,,,
54495,1.8875,1.1746,0.0783
54496,,,
54497,,,
54498,,,
54499,,,
54500,,,
54501,,,
54502,,,
54503,,,
54504,0.7055,0.7055,0.4325
54505,,,
54506,,,
54507,,,
54508,,,
54509,,,
54510,,,
54511,,,
54512,1.6102,0.1832,0.0026
54513,,,
54514,,,
54515,,,
54516,,,
54517,8.1431,8.1431,0.0154
54518,,,
54519,,,
54520,,,
54521,,,
54522,,,
54523,0.882,0.8803,0.0043
54524,57.5765,3.2235,3.2235
54525,,,
54526,4.5,4.5,0.75
54527,,,
54528,,,
54529,,,
54530,,,
54531,,,
54532,,,
54533,3.5941,3.5941,1.9369
54534,,,
54535,,,
54536,,,
54537,,,
54538,,,
54539,12.8261,8.279,8.1993
54540,,,
54541,,,
54542,,,
54543,,,
54544,,,
54545,,,
54546,,,
54547,,,
54548,,,
54549,,,
54550,,,
54551,1.0089,1.0089,0.5061
54552,1.5298,1.4848,0.2144
54553,,,
54554,0.4475,0.3479,
54555,,,
54556,,,
54557,,,
54558,,,
54559,1.318,0.5833,0.2423
54560,,,
54561,,,
54562,3.0,3.0,3.0
54563,,,
54564,,,
54565,0.9823,0.9823,0.9775
54566,,,
54567,,,
54568,,,
54569,,,
54570,,,
54571,,,
54572,,,
54573,,,
54574,177.7193,177.6491,177.5088
54575,,,
54576,,,
54577,,,
54578,,,
54579,,,
54580,1.2317,0.9143,-0.0095
54581,,,
54582,,,
54583,848.5,713.0,48.0
54584,,,
54585,,,
54586,,,
54587,,,
54588,3.2335,3.2335,0.0441
54589,,,
54590,,,
54591,,,
54592,,,
54593,,,
54594,,,
54595,,,
54596,3.059,3.0521,0.0179
54597,,,
54598,,,
54599,,,
54600,,,
54601,0.7717,0.7717,0.1955
54602,,,
54603,,,
54604,,,
54605,,,
54606,,,
54607,,,
54608,,,
54609,,,
54610,,,
54611,,,
54612,74.3659,74.3659,74.3659
54613,14.4681,14.4681,12.8085
54614,,,
54615,1.0,1.0,1.0
54616,,,
54617,,,
54618,,,
54619,,,
54620,1.4304,1.4033,0.5316
54621,7.0863,2.2458,1.6948
54622,,,
54623,0.9473,0.7247,0.0655
54624,1.0442,1.0442,1.0044
54625,,,
54626,,,
54627,,,
54628,,,
54629,3.2629,1.9543,1.2914
54630,2.3838,0.6179,0.0165
54631,2.4255,1.6404,1.6291
54632,,,
54633,,,
54634,,,
54635,,,
54636,,,
54637,,,
54638,,,
54639,563.0,554.0,1.0
54640,,,
54641,,,
54642,,,
54643,,,
54644,0.0327,0.0327,0.0048
54645,,,
54646,4.2436,4.211,0.4734
54647,1.1084,0.1958,0.0008
54648,,,
